city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Alameda,US TIDAL CANAL OAKLAND 94601,19-104-1-3,,R-1,1,21,6.318818359959552
Alameda,974 POST ST ALAMEDA 94501,69-11-1-7,,R-1,1,21,0.012774495666896235
Alameda,970 POST ST ALAMEDA 94501,69-11-1-8,,R-1,1,21,0.013558884297520661
Alameda,968 POST ST ALAMEDA 94501,69-11-9-1,,R-1,1,21,0.01431977803604224
Alameda,995 POST ST ALAMEDA 94501,69-12-2,,R-1,1,21,0.0168479001664371
Alameda,993 POST ST ALAMEDA 94501,69-12-3,,R-1,1,21,0.017981752898301194
Alameda,989 POST ST ALAMEDA 94501,69-12-4,,R-1,1,21,0.016069430096418733
Alameda,985 POST ST ALAMEDA 94501,69-12-5,,R-1,1,21,0.016069340421258033
Alameda,981 POST ST ALAMEDA 94501,69-12-6,,R-1,1,21,0.016069340421258033
Alameda,977 POST ST ALAMEDA 94501,69-12-7,,R-1,1,21,0.016081267217630854
Alameda,975 POST ST ALAMEDA 94501,69-12-8,,R-1,1,21,0.016068981720615244
Alameda,971 POST ST ALAMEDA 94501,69-12-9,,R-1,1,21,0.016068981720615244
Alameda,961 POST ST ALAMEDA 94501,69-12-10,,R-1,1,21,0.01624824236685032
Alameda,951 POST ST ALAMEDA 94501,69-12-11-1,,R-1,1,21,0.014228387761953449
Alameda,3211 OTIS DR ALAMEDA 94501,69-12-12-1,,R-1,1,21,0.013755050010780766
Alameda,3209 OTIS DR ALAMEDA 94501,69-12-13,,R-1,1,21,0.013841988779843894
Alameda,3205 OTIS DR ALAMEDA 94501,69-12-14,,R-1,1,21,0.013842347480486685
Alameda,3201 OTIS DR ALAMEDA 94501,69-12-15,,R-1,1,21,0.015405744232093664
Alameda,960 HIGH ST ALAMEDA 94501,69-12-16,,R-1,1,21,0.01624824236685032
Alameda,972 HIGH ST ALAMEDA 94501,69-12-17,,R-1,1,21,0.016069340421258033
Alameda,974 HIGH ST ALAMEDA 94501,69-12-18,,R-1,1,21,0.016069699121900826
Alameda,976 HIGH ST ALAMEDA 94501,69-12-19,,R-1,1,21,0.01609131083562902
Alameda,980 HIGH ST ALAMEDA 94501,69-12-20,,R-1,1,21,0.016062435433884296
Alameda,984 HIGH ST ALAMEDA 94501,69-12-21,,R-1,1,21,0.018387622675619834
Alameda,988 HIGH ST ALAMEDA 94501,69-12-22,,R-1,1,21,0.01606951977157943
Alameda,992 HIGH ST ALAMEDA 94501,69-12-23,,R-1,1,21,0.016069699121900826
Alameda,998 HIGH ST ALAMEDA 94501,69-12-24,,R-1,1,21,0.01606951977157943
Alameda,995 HIGH ST ALAMEDA 94501,69-13-4,,R-1,1,21,0.013021102358815427
Alameda,993 HIGH ST ALAMEDA 94501,69-13-5,,R-1,1,21,0.01359672721533517
Alameda,989 HIGH ST ALAMEDA 94501,69-13-6,,R-1,1,21,0.014361656336088154
Alameda,985 HIGH ST ALAMEDA 94501,69-13-7,,R-1,1,21,0.013549827106290175
Alameda,981 HIGH ST ALAMEDA 94501,69-13-8,,R-1,1,21,0.013664073261019283
Alameda,977 HIGH ST ALAMEDA 94501,69-13-9,,R-1,1,21,0.013444548467630855
Alameda,975 HIGH ST ALAMEDA 94501,69-13-10,,R-1,1,21,0.013542294392791553
Alameda,971 HIGH ST ALAMEDA 94501,69-13-11,,R-1,1,21,0.013108535640495867
Alameda,961 HIGH ST ALAMEDA 94501,69-13-12,,R-1,1,21,0.013036885187098255
Alameda,3117 OTIS DR ALAMEDA 94501,69-13-13,,R-1,1,21,0.01647162319214876
Alameda,3115 OTIS DR ALAMEDA 94501,69-13-14,,R-1,1,21,0.016848886593204774
Alameda,FILLMORE ST ALAMEDA 94501,69-14-1,,R-1,1,21,0.40870566460055097
Alameda,OTIS DR ALAMEDA 94501,69-14-2-1,,O,0,0,0.011775424701561066
Alameda,3001 OTIS DR ALAMEDA 94501,69-14-2-2,,O,0,0,1.1564881772268136
Alameda,2801 OTIS DR ALAMEDA 94501,69-16-1,,R-1,1,21,0.015518914284894398
Alameda,2800 CLAY ST ALAMEDA 94501,69-16-2,,R-1,1,21,0.013986007087924702
Alameda,2804 CLAY ST ALAMEDA 94501,69-16-3,,R-1,1,21,0.011782509039256199
Alameda,2806 CLAY ST ALAMEDA 94501,69-16-4,,R-1,1,21,0.011841963670798898
Alameda,2808 CLAY ST ALAMEDA 94501,69-16-5,,R-1,1,21,0.01212587522956841
Alameda,2810 CLAY ST ALAMEDA 94501,69-16-6,,R-1,1,21,0.011355475924012856
Alameda,2812 CLAY ST ALAMEDA 94501,69-16-7,,R-1,1,21,0.012515065426997245
Alameda,2814 CLAY ST ALAMEDA 94501,69-16-8,,R-1,1,21,0.011549532971763086
Alameda,2818 CLAY ST ALAMEDA 94501,69-16-9,,R-1,1,21,0.01208641815886134
Alameda,2822 CLAY ST ALAMEDA 94501,69-16-10,,R-1,1,21,0.010799848628328742
Alameda,2824 CLAY ST ALAMEDA 94501,69-16-11,,R-1,1,21,0.010991574121900827
Alameda,2828 CLAY ST ALAMEDA 94501,69-16-12,,R-1,1,21,0.013273986311983472
Alameda,2830 CLAY ST ALAMEDA 94501,69-16-13,,R-1,1,21,0.010570459567263544
Alameda,2831 OTIS DR ALAMEDA 94501,69-16-14,,R-1,1,21,0.010197500573921029
Alameda,2829 OTIS DR ALAMEDA 94501,69-16-15,,R-1,1,21,0.013318375516528926
Alameda,2825 OTIS DR ALAMEDA 94501,69-16-16,,R-1,1,21,0.012443414973599633
Alameda,2817 OTIS DR ALAMEDA 94501,69-16-17,,R-1,1,21,0.012357057793847567
Alameda,2815 OTIS DR ALAMEDA 94501,69-16-18,,R-1,1,21,0.01212677198117539
Alameda,2811 OTIS DR ALAMEDA 94501,69-16-19,,R-1,1,21,0.012180487402433425
Alameda,2809 OTIS DR ALAMEDA 94501,69-16-20,,R-1,1,21,0.012230167441460054
Alameda,2807 OTIS DR ALAMEDA 94501,69-16-21,,R-1,1,21,0.012088839388200184
Alameda,2805 OTIS DR ALAMEDA 94501,69-16-22,,R-1,1,21,0.012484217171717172
Alameda,2803 OTIS DR ALAMEDA 94501,69-16-23,,R-1,1,21,0.012063371642561983
Alameda,985 MARKET ST ALAMEDA 94501,69-18-2-4,,R-1,1,21,0.015923169909320477
Alameda,3256 CALHOUN ST ALAMEDA 94501,69-18-2-7,,R-1,1,21,0.021798327737603304
Alameda,3260 CALHOUN ST ALAMEDA 94501,69-18-2-8,,R-1,1,21,0.015072511334940312
Alameda,3264 CALHOUN ST ALAMEDA 94501,69-18-2-9,,R-1,1,21,0.015072511334940312
Alameda,981 MARKET ST ALAMEDA 94501,69-18-2-11,,R-1,1,21,0.01782682260876407
Alameda,3250 CALHOUN ST ALAMEDA 94501,69-18-7,,R-1,1,21,0.02113491089876033
Alameda,3252 CALHOUN ST ALAMEDA 94501,69-18-8-1,,R-1,1,21,0.006787441022304136
Alameda,3252 CALHOUN ST ALAMEDA 94501,69-18-8-2,,R-1,1,21,0.016581383318092103
Alameda,998 POST ST ALAMEDA 94501,69-19-1-1,,R-1,1,21,0.013522207156795226
Alameda,3232 CALHOUN ST ALAMEDA 94501,69-19-2-4,,R-1,1,21,0.01403326589761249
Alameda,3230 CALHOUN ST ALAMEDA 94501,69-19-2-5,,R-1,1,21,0.013718416408402203
Alameda,3228 CALHOUN ST ALAMEDA 94501,69-19-2-6,,R-1,1,21,0.013895076474977043
Alameda,3225 TOYON TER ALAMEDA 94501,69-19-3-5,,R-1,1,21,0.0176205413510101
Alameda,3229 TOYON TER ALAMEDA 94501,69-19-4-4,,R-1,1,21,0.03105675002869605
Alameda,3200 TOYON TER ALAMEDA 94501,69-19-5-13,,R-1,1,21,0.011979525367309458
Alameda,984 POST ST ALAMEDA 94501,69-19-6-1,,R-1,1,21,0.014239070391414142
Alameda,988 POST ST ALAMEDA 94501,69-19-8-1,,R-1,1,21,0.013510459710743801
Alameda,992 POST ST ALAMEDA 94501,69-19-9-1,,R-1,1,21,0.013745677657254362
Alameda,2801 CLAY ST ALAMEDA 94501,69-24-1,,R-1,1,21,0.01767488449839302
Alameda,938 VERSAILLES AVE ALAMEDA 94501,69-24-2-1,,R-1,1,21,0.012219496097337006
Alameda,940 VERSAILLES AVE ALAMEDA 94501,69-24-3-1,,R-1,1,21,0.016752485795454547
Alameda,2808 CALHOUN ST ALAMEDA 94501,69-24-3-2,,R-1,1,21,0.009035848542240588
Alameda,2810 CALHOUN ST ALAMEDA 94501,69-24-4,,R-1,1,21,0.011633558597337007
Alameda,2814 CALHOUN ST ALAMEDA 94501,69-24-5,,R-1,1,21,0.01072990200298439
Alameda,2816 CALHOUN ST ALAMEDA 94501,69-24-6,,R-1,1,21,0.012886051566804408
Alameda,2820 CALHOUN ST ALAMEDA 94501,69-24-7,,R-1,1,21,0.01282184415174472
Alameda,2822 CALHOUN ST ALAMEDA 94501,69-24-8,,R-1,1,21,0.011653018107208448
Alameda,2826 CALHOUN ST ALAMEDA 94501,69-24-9,,R-1,1,21,0.013669274420339762
Alameda,2828 CALHOUN ST ALAMEDA 94501,69-24-10,,R-1,1,21,0.01404851067493113
Alameda,2830 CALHOUN ST ALAMEDA 94501,69-24-11,,R-1,1,21,0.013458448117539027
Alameda,2834 CALHOUN ST ALAMEDA 94501,69-24-12,,R-1,1,21,0.012897171286730945
Alameda,2831 CLAY ST ALAMEDA 94501,69-24-13,,R-1,1,21,0.012321008379247015
Alameda,2829 CLAY ST ALAMEDA 94501,69-24-14,,R-1,1,21,0.01106403165174472
Alameda,2825 CLAY ST ALAMEDA 94501,69-24-15,,R-1,1,21,0.012672445334022038
Alameda,2821 CLAY ST ALAMEDA 94501,69-24-16,,R-1,1,21,0.01294030503902663
Alameda,2817 CLAY ST ALAMEDA 94501,69-24-17,,R-1,1,21,0.011854787218778697
Alameda,2813 CLAY ST ALAMEDA 94501,69-24-18,,R-1,1,21,0.012928916293617998
Alameda,2811 CLAY ST ALAMEDA 94501,69-24-19,,R-1,1,21,0.012714682334710743
Alameda,2809 CLAY ST ALAMEDA 94501,69-24-20,,R-1,1,21,0.012500627726124884
Alameda,2807 CLAY ST ALAMEDA 94501,69-24-21,,R-1,1,21,0.010504727674471992
Alameda,2805 CLAY ST ALAMEDA 94501,69-24-22,,R-1,1,21,0.01238234618916437
Alameda,2803 CLAY ST ALAMEDA 94501,69-24-23,,R-1,1,21,0.012928198892332415
Alameda,3270 FILLMORE ST ALAMEDA 94501,69-25-1-21,,R-1,1,21,0.01752037419651056
Alameda,MARKET ST ALAMEDA 94501,69-25-1-35,,R-1,1,21,0.009895743658172635
Alameda,MARKET ST ALAMEDA 94501,69-25-1-36,,R-1,1,21,0.015175906795224977
Alameda,FILLMORE ST ALAMEDA 94501,69-25-1-38,,R-1,1,21,0.007422861426767677
