city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Campbell,1901 S BASCOM AV,28804027,Transit Oriented Mixed Use,C-2-O,57,75,8.85
Campbell,1980 HAMILTON AV,28824059,Medium-High Density Mixed Use,P-F,26,30,1.22
Campbell,2365 WINCHESTER BL,30536012,Transit Oriented Mixed Use,P-D,57,75,3.8
Campbell,700 HACIENDA AV,40619036,Neighborhood Mixed Use,R-M,18.75,20,0.51
Campbell,60 S SAN TOMAS AQUINO RD,40401031,High Density Mixed Use,C-1,34,45,0.82
Campbell,1875 S BASCOM AV,28804028,Commercial Corridor Mixed Use,C-2-O,45,60,16.4
Campbell,1226 HACIENDA AV,40616041,Neighborhood Mixed Use,R-1-10,18.75,20,0.2
Campbell,621 E CAMPBELL AV,27946011,High Density Mixed Use,P-D,34,45,0.64
Campbell,621 E CAMPBELL AV,27946012,High Density Mixed Use,P-D,34,45,0.95
Campbell,471 E CAMPBELL AV,27943055,High Density Mixed Use,P-D,34,45,0.67
Campbell,1216 HACIENDA AV,40616042,Neighborhood Mixed Use,R-1-10,18.75,20,0.51
Campbell,573 E CAMPBELL AV,27946049,High Density Mixed Use,P-D,34,45,0.12
Campbell,1265 BURROWS RD,40316096,Neighborhood Mixed Use,R-1-10,18.75,20,0.59
Campbell,56 FOOTE ST,27943020,High Density Mixed Use,P-D,34,45,1.41
Campbell,1236 HACIENDA AV,40616083,Neighborhood Mixed Use,R-1-10,18.75,20,0.31
Campbell,2470 S WINCHESTER BL,41202001,Transit Oriented Mixed Use,P-D,57,75,0.61
Campbell,2290 S WINCHESTER BL,41202006,High Density Mixed Use,P-D,34,45,0.62
Campbell,2460 S WINCHESTER BL,41202032,Transit Oriented Mixed Use,P-D,57,75,2.39
Campbell,579 E CAMPBELL AV,27946048,High Density Mixed Use,P-D,34,45,0.12
Campbell,500 E HAMILTON AV,27933052,Transit Oriented Mixed Use,C-2,57,75,1.87
Campbell,2240 S WINCHESTER BL,41204016,High Density Mixed Use,P-D,34,45,0.15
