city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Campbell,,40425039,,R-1-6,0,7.26,0.2503247908273722
Campbell,,40619019,,R-1-8,0,5.45,0.20485833409217313
Campbell,,30717032,,R-1-6,0,7.26,0.2468859574030526
Campbell,,40302044,,NC,0,0,1.2412804118925513
Campbell,,30518035,,R-1-6,0,7.26,0.15532162956538115
Campbell,,30754001,,R-1-6,0,7.26,0.14960020532548132
Campbell,,40603009,,R-1-6,0,7.26,0.20758437937087965
Campbell,,41434034,,R-1-6,0,7.26,0.21581587216185588
Campbell,,28217050,,R-1-6,0,7.26,0.15825648587261174
Campbell,,41401060,,R-1-8,0,5.45,0.22717715333704752
Campbell,,41211004,,MHDR,26,33,0.1588620771796292
Campbell,,30747016,,MDR,18,25,0.18500774960422314
Campbell,,27936043,,MDR,18,25,0.01032452622611857
Campbell,,28816039,,R-1-6,0,7.26,0.19714552949013894
Campbell,,40308112,,R-1-6,0,7.26,0.13901529875567817
Campbell,,30744036,,R-1-6,0,7.26,0.16968468268546705
Campbell,,40312097,,R-1-9,0,4.84,0.28987609543077675
Campbell,,40310004,,R-1-6,0,7.26,0.2679278594594311
Campbell,,40353105,,ROW,0,0,0.11938656506504132
Campbell,,42405007,,R-1-6,0,7.26,0.19450223030078367
Campbell,,41207011,,R-1-6,0,7.26,0.1469852679323219
Campbell,,30521017,,MDR,18,25,0.7191914988156415
Campbell,,28825014,,R-1-6,0,7.26,0.22157921255723295
Campbell,,27927024,,R-1-6,0,7.26,0.18484200567863837
Campbell,,40313104,,R-1-9,0,4.84,0.16533087623563517
Campbell,,28809081,,R-1-6,0,7.26,0.19010247078848796
Campbell,,30740025,,R-1-6,0,7.26,0.1418358857755888
Campbell,,40425076,,R-1-6,0,7.26,0.14470365985424516
Campbell,,30524005,,R-1-6,0,7.26,0.19297882157954488
Campbell,,40616019,,R-1-10,0,4.35,0.2586974527460661
Campbell,,30756024,,R-1-6,0,7.26,0.15457599919231413
Campbell,,40343113,,R-1-6,0,7.26,0.1819612577379864
Campbell,,40610011,,MHDR,26,33,2.2524687883546073
Campbell,,28823066,,R-1-6,0,7.26,0.26176072128625644
Campbell,,40617064,,R-1-6,0,7.26,0.14241913305635245
Campbell,,40312055,,R-1-9,0,4.84,0.20038745960371643
Campbell,,40343062,,R-1-6,0,7.26,0.15868521433399188
Campbell,,40342014,,R-1-6,0,7.26,0.14552518073720333
Campbell,,28815053,,R-1-6,0,7.26,0.14996153107121818
Campbell,,30741017,,R-1-6,0,7.26,0.14258190042583913
Campbell,,30519060,,R-1-6,0,7.26,0.18921691527129358
Campbell,,30523085,,R-1-6,0,7.26,0.1888207386633799
Campbell,,41234012,,LI,0,0,0.2710007593869583
Campbell,,40342009,,R-1-6,0,7.26,0.1438024452348184
Campbell,,40426028,,R-1-6,0,7.26,0.14541939479121388
Campbell,,28813027,,R-1-6,0,7.26,0.17094893418440463
Campbell,,41235017,,R-1-6,0,7.26,0.14217521465617497
Campbell,,30530018,,R-1-6,0,7.26,0.19228583649443134
Campbell,,41235002,,LI,0,0,0.8199315910519477
Campbell,,41444019,,R-1-6,0,7.26,0.14571549412964066
Campbell,,40616083,,NC-MU,18,25,0.3050880898360427
Campbell,,40606058,,R-1-6,0,7.26,0.2778977726870172
Campbell,,40426038,,R-1-10,0,4.35,0.3112222160452595
Campbell,,40425062,,R-1-6,0,7.26,0.19405617468933986
Campbell,,40618025,,R-1-6,0,7.26,0.15003452588389354
Campbell,,28815041,,R-1-6,0,7.26,0.1876077314070356
Campbell,,28808077,,R-1-6,0,7.26,0.15373056053153858
Campbell,,41211040,,MHDR,26,33,0.02614580540433102
Campbell,,41230034,,LI,0,0,0.4062744461663962
Campbell,,28813093,,R-1-6,0,7.26,0.2208475470746661
Campbell,,40344022,,R-1-6,0,7.26,0.1349300923015228
Campbell,,27923012,,R-1-6,0,7.26,0.22555618508692468
Campbell,,41433055,,R-1-6,0,7.26,0.1377506519781121
Campbell,,40310077,,R-1-6,0,7.26,0.1310962803435557
Campbell,,30742006,,R-1-6,0,7.26,0.14208385758218658
Campbell,,28817003,,R-1-6,0,7.26,0.23193530326965728
Campbell,,40604053,,R-1-6,0,7.26,0.1434231656324698
Campbell,,30717048,,R-1-6,0,7.26,0.14461230388875668
Campbell,,40348097,,R-1-6,0,7.26,0.19327047598290384
Campbell,,30714014,,R-1-6,0,7.26,0.16451852887874516
Campbell,,40406043,,R-1-6,0,7.26,0.23858403822803373
Campbell,,40313027,,R-1-6,0,7.26,0.11029442660647266
Campbell,,40614007,,R-1-8,0,5.45,0.1852996286697888
Campbell,,40614047,,R-1-8,0,5.45,0.23880162715108116
Campbell,,30535005,,R-1-6,0,7.26,0.23717849824461054
Campbell,,40620023,,R-1-10,0,4.35,0.012729047018985125
Campbell,,30537038,,MDR,18,25,0.1939602435658972
Campbell,,42405015,,R-1-6,0,7.26,0.20257237000329606
Campbell,,40318053,,R-1-9,0,4.84,0.18294485416245884
Campbell,,27921046,,R-1-6,0,7.26,0.17823782135475832
Campbell,,40616035,,R-1-10,0,4.35,0.23279836334088466
Campbell,,30520012,,MDR,18,25,0.15053346702777753
Campbell,,30539033,,R-1-6,0,7.26,0.1483227268456249
Campbell,,40313079,,R-1-6,0,7.26,0.1637619412750056
Campbell,,40353021,,R-1-6,0,7.26,0.15184391121192906
Campbell,,41231011,,LI,0,0,0.6065765157824123
Campbell,,40622016,,R-1-10,0,4.35,0.31220281076280826
Campbell,,41214005,,MHDR,26,33,0.01619379978845517
Campbell,,27919004,,R-1-6,0,7.26,0.1444574849440724
Campbell,,40428024,,R-1-10,0,4.35,0.47063921520212626
Campbell,,28813076,,R-1-6,0,7.26,0.1643161070065799
Campbell,,30744038,,R-1-6,0,7.26,0.1621146903343698
Campbell,,30537028,,MDR,18,25,0.17125478137429606
Campbell,,28811043,,R-1-6,0,7.26,0.1569830311339873
Campbell,,27946043,,R-1-6,0,7.26,0.1401256061690132
Campbell,,30715018,,R-1-6,0,7.26,0.1457219619982248
Campbell,,27920025,,R-1-6,0,7.26,0.1437048872632721
Campbell,,41211019,,MHDR,26,33,0.019399243922314742
Campbell,,41433030,,R-1-6,0,7.26,0.1978557105227263
Campbell,,40606009,,NC-MU,18,25,0.12398803914917114
Campbell,,28815081,,R-1-6,0,7.26,0.15576610695059206
Campbell,,40348017,,R-1-6,0,7.26,0.14440147027737274
Campbell,,41239018,,R-1-8,0,5.45,0.2944117064552108
Campbell,,40607024,,R-1-6,0,7.26,0.13913183819884328
Campbell,,41404021,,R-1-8,0,5.45,0.2163820813143473
Campbell,,40309099,,R-1-6,0,7.26,0.17850808024021986
Campbell,,40310127,,R-1-6,0,7.26,0.19373418951795982
Campbell,,27936175,,MDR,18,25,0.010315167414818851
Campbell,,30707054,,R-1-6,0,7.26,0.15437152943954116
Campbell,,40613069,,R-1-6,0,7.26,0.1954242191516694
Campbell,,42403001,,R-1-6,0,7.26,0.24105252895079554
Campbell,,27936280,,MDR,18,25,0.017562089281251417
Campbell,,30530016,,R-1-6,0,7.26,0.29485049432702404
Campbell,,40426014,,R-1-10,0,4.35,0.23419093274759908
Campbell,,30519044,,MDR,18,25,0.22036847190777525
Campbell,,30536012,,TO-MU,57,75,3.8027550600173363
Campbell,,30753043,,R-1-6,0,7.26,0.1379925921377641
Campbell,,40406028,,R-1-6,0,7.26,0.25444326795509103
Campbell,,27936044,,MDR,18,25,0.01756183743942539
Campbell,,27936313,,MDR,18,25,0.01641447981549129
Campbell,,30530017,,R-1-6,0,7.26,0.20257260000052624
Campbell,,27923020,,R-1-6,0,7.26,0.24477877163850176
Campbell,,40313002,,R-1-9,0,4.84,0.5025424222278863
Campbell,,40343035,,R-1-6,0,7.26,0.13562718548158154
Campbell,,41219034,,MHDR,26,33,1.7533644011923961
Campbell,,41234017,,LI,0,0,0.34008850992643885
