city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Cupertino,10981 FRANCO CT,326 09 071,Parks and Open Space,PR,0,0,0.0
Cupertino,20900 HOMESTEAD RD APT 79F,326 09 072,Medium / High Density(20-35 DU/Ac.),R3,10.01,20,2.98
Cupertino,11141 CHADWICK PL,356 17 079,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.2
Cupertino,7465 FALLENLEAF LN,359 28 030,Low Density(1-5 DU/Ac.),R1-6i,1,5,0.21
Cupertino,7479 FALLENLEAF LN,359 28 031,Low Density(1-5 DU/Ac.),R1-6i,1,5,0.21
Cupertino,10125 BANDLEY DR,326 34 047,Residential - High/Very High Density,R4,35.01,50,1.01
Cupertino,21623 LA PLAYA CT,356 23 010,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.17
Cupertino,7436 FALLENLEAF LN,359 28 023,Low Density(1-5 DU/Ac.),R1-6i,1,5,0.21
Cupertino,7624 DE FOE DR,359 25 031,Low Density(1-5 DU/Ac.),R1-6,1,5,0.17
Cupertino,6378 BLACKWOOD DR,369 17 049,Low Density(1-5 DU/Ac.),R1-6,1,5,0.13
Cupertino,956 CANDLEWOOD DR,369 19 018,Low Density(1-5 DU/Ac.),R1-6,1,5,0.13
Cupertino,6398 BLACKWOOD DR,369 17 046,Low Density(1-5 DU/Ac.),R1-6,1,5,0.19
Cupertino,10786 S BLANEY AVE,369 23 053,Low Density(1-5 DU/Ac.),R1-6,1,5,0.15
Cupertino,5927 SUTTON PARK PL,375 35 037,Low Density(1-5 DU/Ac.),R1-6,1,5,0.13
Cupertino,7899 FIESTA LN,362 13 023,Low Density(1-5 DU/Ac.),R1-6,1,5,0.14
Cupertino,5939 SUTTON PARK PL,375 35 038,Low Density(1-5 DU/Ac.),R1-6,1,5,0.13
Cupertino,7584 DE FOE DR,359 25 035,Low Density(1-5 DU/Ac.),R1-6,1,5,0.14
Cupertino,10813 WILKINSON AVE,356 13 018,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.18
Cupertino,10101 N DE ANZA BLVD,326 34 071,Commercial / Office / Residential,"P(CG, Res)",0,50,1.16
Cupertino,21852 OAKVIEW LN,326 19 108,Low Density(1-5 DU/Ac.),R1-10,1,5,0.23
Cupertino,21868 OAKVIEW LN,326 19 107,Low Density(1-5 DU/Ac.),R1-10,1,5,0.22
Cupertino,10060 PHAR LAP DR,326 18 038,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.18
Cupertino,20182 JOSEPH CIR,316 24 053,Low / Medium Density(5-10 DU/Ac.),P(Res),0,50,0.04
Cupertino,21884 OAKVIEW LN,326 19 106,Low Density(1-5 DU/Ac.),R1-10,1,5,0.26
Cupertino,20104 WHEATON DR,316 23 082,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.23
Cupertino,20292 CARTWRIGHT WAY,316 42 008,Low / Medium Density(5-10 DU/Ac.),P(R1C),1,5,0.07
Cupertino,21083 PATRIOT WAY,326 53 053,Low / Medium Density(5-10 DU/Ac.),P(Res),0,50,0.06
Cupertino,21111 STEVENS CREEK BLVD,326 29 022,Parks and Open Space,PR,0,0,0.01
Cupertino,11164 LA PALOMA DR,356 16 040,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.17
Cupertino,11089 CATALANO CT,362 18 067,Low Density(1-5 DU/Ac.),R1-6,1,5,0.2
Cupertino,7409 STANFORD PL,359 32 030,Low Density(1-5 DU/Ac.),R1-6,1,5,0.14
Cupertino,7413 STANFORD PL,359 32 031,Low Density(1-5 DU/Ac.),R1-6,1,5,0.13
Cupertino,1052 WEST HILL CT,362 27 043,Low Density(1-5 DU/Ac.),R1-6,1,5,0.18
Cupertino,7419 STANFORD PL,359 32 032,Low Density(1-5 DU/Ac.),R1-6,1,5,0.14
Cupertino,21610 EDWARD WAY,356 18 014,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.18
Cupertino,7998 WOODLARK WAY,362 04 034,Low Density(1-5 DU/Ac.),R1-6,1,5,0.15
Cupertino,7948 WOODLARK WAY,362 04 043,Low Density(1-5 DU/Ac.),R1-6,1,5,0.13
Cupertino,7970 WOODLARK WAY,362 04 039,Low Density(1-5 DU/Ac.),R1-6,1,5,0.13
Cupertino,11009 MARIA ROSA WAY,356 19 048,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.19
Cupertino,21203 OROGRANDE PL,362 17 018,Low Density(1-5 DU/Ac.),R1-6,1,5,0.23
Cupertino,7978 WOODLARK WAY,362 04 038,Low Density(1-5 DU/Ac.),R1-6,1,5,0.13
Cupertino,22296 DE ANZA CIR S,356 02 016,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.2
Cupertino,10916 LINDA VISTA DR,356 14 044,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.17
Cupertino,6116 WILLOWGROVE LN,375 38 016,Low Density(1-5 DU/Ac.),R1-6e,1,5,0.15
Cupertino,18721 HANNA DR,375 29 010,Low Density(1-6 DU/Ac.),R1-5,1,5,0.13
Cupertino,6052 WILLOWGROVE LN,375 38 022,Low Density(1-5 DU/Ac.),R1-6e,1,5,0.22
Cupertino,1002 KENMORE CT,362 15 041,Low Density(1-5 DU/Ac.),R1-6,1,5,0.13
Cupertino,20327 CLIFDEN WAY,369 37 003,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.17
Cupertino,10320 WALNUT CIR APT A,357 03 041,Low / Medium Density(5-10 DU/Ac.),R2-4.25i,5.01,10,0.2
Cupertino,10301 MENHART LN,375 15 033,Low Density(1-6 DU/Ac.),R1-5,1,5,0.11
Cupertino,10290 BONNY DR,359 11 037,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.17
Cupertino,20206 NORTHBROOK SQ,316 39 025,Low / Medium Density(5-10 DU/Ac.),P(R1C),1,5,0.03
Cupertino,22091 HIBISCUS CT,326 02 021,Low Density(1-5 DU/Ac.),R1-10,1,5,0.27
Cupertino,7794 LILAC WAY,359 06 001,Low Density(1-5 DU/Ac.),R1-6,1,5,0.17
Cupertino,10777 LINDA VISTA DR,356 07 014,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.17
Cupertino,892 HYDE AVE,375 39 009,Low Density(1-5 DU/Ac.),R1-6e,1,5,0.14
Cupertino,21875 ALMADEN AVE,357 15 019,Residential (0-4.4 DU/Ac.),R1-7.5,1,5,0.22
Cupertino,20640 SUNRISE DR,359 10 037,Low Density(1-5 DU/Ac.),R1-10,1,5,0.22
Cupertino,20654 SUNRISE DR,359 10 036,Low Density(1-5 DU/Ac.),R1-10,1,5,0.22
Cupertino,10973 WILKINSON AVE,356 13 031,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.18
Cupertino,10331 LOCKWOOD DR,342 30 033,Low / Medium Density(5-10 DU/Ac.),R2-4.25,5.01,10,0.24
Cupertino,22420 WALNUT CIR N,357 03 043,Low / Medium Density(5-10 DU/Ac.),R2-4.25i,5.01,10,0.2
Cupertino,22440 WALNUT CIR N,357 03 050,Low / Medium Density(5-10 DU/Ac.),R2-4.25i,5.01,10,0.2
Cupertino,22460 WALNUT CIR N APT B,357 03 049,Low / Medium Density(5-10 DU/Ac.),R2-4.25i,5.01,10,0.2
Cupertino,18901 LOREE AVE,375 13 030,Low Density(1-6 DU/Ac.),R1-5,1,5,0.15
Cupertino,21692 OLIVE AVE,357 21 007,Residential (10-15 DU/Ac.),P(Res),0,50,0.01
Cupertino,10241 MILLER AVE,369 42 003,Low / Medium Density(5-10 DU/Ac.),P(R1C),1,5,0.07
Cupertino,18770 BARNHART AVE,375 27 040,Low Density(1-6 DU/Ac.),R1-5,1,5,0.12
Cupertino,19710 AUBURN DR,316 35 020,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.17
Cupertino,10481 N STELLING RD,326 28 088,Low Density(1-5 DU/Ac.),R1-10,1,5,0.22
Cupertino,10480 FLORA VISTA AVE,326 28 081,Low Density(1-5 DU/Ac.),R1-10,1,5,0.21
Cupertino,22151 CLOVERLY CT,326 12 038,Low Density(1-5 DU/Ac.),Pre R1-10,1,5,0.22
Cupertino,10162 BRET AVE,375 11 037,Low Density(1-5 DU/Ac.),R1-10,1,5,0.21
Cupertino,10208 BONNY DR,359 11 045,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.17
Cupertino,10425 MANN DR,326 45 020,Low Density(1-5 DU/Ac.),R1-10,1,5,0.26
Cupertino,10447 CHERRY TREE LN,316 33 075,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.17
Cupertino,20805 FARGO DR,326 30 129,Low Density(1-5 DU/Ac.),R1-10,1,5,0.22
Cupertino,10094 JUDY AVE,375 11 010,Low Density(1-5 DU/Ac.),R1-10,1,5,0.21
Cupertino,10139 BYRNE AVE,357 11 009,Residential (0-4.4 DU/Ac.),R1-8,1,5,0.37
Cupertino,10132 DEEPROSE PL,369 05 020,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.22
Cupertino,19618 RICHWOOD DR,369 08 034,Low Density(1-5 DU/Ac.),R1-7.5,1,5,0.2
Cupertino,21840 HERMOSA AVE,357 16 151,Residential (0-4.4 DU/Ac.),R1-7.5,1,5,0.2
Cupertino,21870 EATON PL,326 19 132,Residential (4.4-12 DU/Ac.),"P(CN, ML, Res 4-12)",0,0,0.08
Cupertino,10001 N DE ANZA BLVD,326 34 074,Commercial / Office / Residential,"P(CG, Res)",0,50,0.67
Cupertino,10026 PENINSULA AVE,326 25 043,Neighborhood Commercial / Residential,P(CN),0,0,0.19
Cupertino,22606 SILVER OAK WAY,342 12 058,Low / Medium Density(5-10 DU/Ac.),P(R2),5.01,10,0.19
