city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Danville,,206480025,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480028,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480118,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480119,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480031,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480032,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480033,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480020,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480021,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480022,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480027,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480026,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480023,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480024,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480016,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480015,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480012,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480017,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480018,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480019,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480034,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480035,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480036,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480037,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480038,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480010,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480011,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480008,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480009,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480039,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480041,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480040,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480042,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480043,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480050,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480051,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480053,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480052,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480072,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480054,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480055,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480056,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480058,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480057,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480067,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480068,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480069,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480070,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480071,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480087,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480088,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480089,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480090,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480097,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480092,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480091,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480093,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480064,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480065,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480066,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480059,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480060,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480061,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480062,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480063,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480120,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480116,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480096,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480117,,P-1 (R-6),0.0,7.26,0.0
Danville,,206170005,,P-1 (R-100,0.0,0.44,2.85
Danville,,206170004,,P-1 (R-100,0.0,0.44,2.998
Danville,,206170001,,P-1 (R-40),0.0,1.09,2.06
Danville,,206170006,,P-1 (R-40),0.0,1.09,1.0
Danville,,206170008,,P-1 (R-100,0.0,0.44,5.0
Danville,,206160030,,P-1 (R-40),0.0,1.09,1.055
Danville,,206160031,,P-1 (R-40),0.0,1.09,1.139
Danville,,206160029,,P-1 (R-40),0.0,1.09,1.036
Danville,,206160026,,P-1 (R-40),0.0,1.09,1.446
Danville,,206160025,,P-1 (R-40),0.0,1.09,1.545
Danville,,206210009,,P-1 (R-40),0.0,1.09,5.14
Danville,,206210014,,P-1 (R-100,0.0,0.44,2.57
Danville,,206210016,,P-1 (R-100,0.0,0.44,2.87
Danville,,206160006,,P-1 (R-40),0.0,1.09,1.55
Danville,,206160007,,P-1 (R-40),0.0,1.09,1.59
Danville,,206160008,,P-1 (R-40),0.0,1.09,2.05
Danville,,206160027,,P-1 (R-40),0.0,1.09,2.342
Danville,,206170012,,P-1 (R-100,0.0,0.44,11.602
Danville,,206160024,,P-1 (R-40),0.0,1.09,1.503
Danville,,206160023,,P-1 (R-40),0.0,1.09,1.149
Danville,,206160014,,P-1 (R-40),0.0,1.09,5.22
Danville,,206160028,,P-1 (R-40),0.0,1.09,4.563
Danville,,206160011,,P-1 (R-100,0.0,0.44,7.81
Danville,,206170011,,P-1 (R-100,0.0,0.44,10.0
Danville,,206170013,,P-1 (R-100,0.0,0.44,7.116
Danville,,206160013,,P-1 (R-100,0.0,0.44,5.21
Danville,,206160017,,P-1 (R-40),0.0,1.09,17.11
Danville,,206160035,,P-1 (R-40),0.0,1.09,1.31
Danville,,206160019,,P-1 (R-40),0.0,1.09,4.755
Danville,,206160022,,P-1 (R-40),0.0,1.09,1.074
Danville,,206160034,,P-1 (R-40),0.0,1.09,1.24
Danville,,206160021,,P-1 (R-40),0.0,1.09,1.36
Danville,,206160032,,P-1 (R-40),0.0,1.09,1.02
Danville,,206160033,,P-1 (R-40),0.0,1.09,1.47
Danville,,206210015,,P-1 (R-100,0.0,0.44,2.73
Danville,,206160020,,P-1 (R-40),0.0,1.09,1.825
Danville,,206140033,,P-1 (R-40),0.0,1.09,0.0
Danville,,206140034,,P-1 (R-40),0.0,1.09,0.0
Danville,,206140032,,P-1 (R-40),0.0,1.09,0.0
Danville,,206140012,,P-1 (R-40),0.0,1.09,1.09
Danville,,206140031,,P-1 (R-40),0.0,1.09,0.0
Danville,,206140036,,P-1 (R-40),0.0,1.09,0.65
Danville,,206140030,,P-1 (R-40),0.0,1.09,0.0
Danville,,206140026,,P-1 (R-40),0.0,1.09,0.0
Danville,,206140025,,P-1 (R-40),0.0,1.09,1.17
Danville,,206140035,,P-1 (R-40),0.0,1.09,1.071
Danville,,206140010,,P-1 (R-40),0.0,1.09,1.26
Danville,,206140009,,P-1 (R-40),0.0,1.09,1.26
Danville,,206140006,,P-1 (R-40),0.0,1.09,1.4
Danville,,206450014,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450015,,P-1 (R-12),0.0,3.63,0.0
Danville,,206450034,,P-1 (R-12),0.0,3.63,0.25
Danville,,206140017,,P-1 (R-40),0.0,1.09,2.5
Danville,,206140029,,P-1 (R-40),0.0,1.09,2.975
Danville,,206140019,,P-1 (R-40),0.0,1.09,1.28
Danville,,206140018,,P-1 (R-40),0.0,1.09,1.22
Danville,,206450022,,P-1 (R-12),0.0,3.63,0.0
Danville,,206450021,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450023,,P-1 (R-12),0.0,3.63,0.0
Danville,,206450029,,P-1 (R-12),0.0,3.63,0.0
Danville,,206450028,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450024,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450027,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450026,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450025,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450005,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450004,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490003,,P-1 (R-7),0.0,6.22,0.207
Danville,,206490003,,P-1 (R-7),0.0,6.22,0.207
Danville,,206490004,,P-1 (R-7),0.0,6.22,0.203
Danville,,206490004,,P-1 (R-7),0.0,6.22,0.203
Danville,,206490005,,P-1 (R-7),0.0,6.22,0.165
Danville,,206490005,,P-1 (R-7),0.0,6.22,0.165
Danville,,206450006,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450007,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450008,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490006,,P-1 (R-7),0.0,6.22,0.203
Danville,,206490006,,P-1 (R-7),0.0,6.22,0.203
Danville,,206490007,,P-1 (R-7),0.0,6.22,0.191
Danville,,206490007,,P-1 (R-7),0.0,6.22,0.191
Danville,,206490008,,P-1 (R-7),0.0,6.22,0.203
Danville,,206490008,,P-1 (R-7),0.0,6.22,0.203
Danville,,206490009,,P-1 (R-7),0.0,6.22,0.178
Danville,,206490009,,P-1 (R-7),0.0,6.22,0.178
Danville,,206450010,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450009,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450020,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450019,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450018,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450035,,P-1 (R-12),0.0,3.63,0.299
Danville,,206450013,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450012,,P-1 (R-7),0.0,6.22,0.0
Danville,,206450011,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490010,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490010,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490012,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490012,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490011,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490011,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490013,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490013,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490014,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490014,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490015,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490015,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490016,,P-1 (R-10),0.0,4.36,0.0
Danville,,206490017,,P-1 (R-10),0.0,4.36,0.0
Danville,,206490018,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490018,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490021,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490021,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490023,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490023,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490024,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490024,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490019,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490019,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490020,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490020,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490022,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490022,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490030,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490030,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490032,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490032,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490033,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490033,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490031,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490031,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490029,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490029,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490028,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490028,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490034,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490034,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490027,,P-1 (R-10),0.0,4.36,0.0
Danville,,206490026,,P-1 (R-10),0.0,4.36,0.0
Danville,,206490025,,P-1 (R-10),0.0,4.36,0.0
Danville,,206480098,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480099,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480100,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480101,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480086,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480085,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480102,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480103,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480104,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480105,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480106,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480081,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480082,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480083,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480084,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480073,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480074,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480075,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480049,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480048,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480076,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480077,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480114,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480113,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480112,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480078,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480079,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480080,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480108,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480107,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480109,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480111,,P-1 (R-6),0.0,7.26,0.0
Danville,,206480110,,P-1 (R-6),0.0,7.26,0.0
Danville,,206133070,,P-1 (R-6),0.0,7.26,0.332
Danville,,206460085,,P-1,0.0,35.0,0.006
Danville,,206133071,,P-1 (R-6),0.0,7.26,0.351
Danville,,206470021,,P-1,0.0,35.0,0.106
Danville,,206490036,,P-1 (R-10),0.0,4.36,0.0
Danville,,206490035,,P-1 (R-10),0.0,4.36,0.0
Danville,,206490037,,P-1 (R-10),0.0,4.36,0.0
Danville,,206490038,,P-1 (R-7),0.0,6.22,0.0
Danville,,206490038,,P-1 (R-7),0.0,6.22,0.0
