city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Dublin,TASSAJARA RD DUBLIN 94568,985-133-5,,PD,0,85.0,0.010755100723140495
Dublin,2061 COLLIER CANYON RD DUBLIN 94568,905-1-4-3,,PD,0,85.0,1.3079777713211662
Dublin,1881 COLLIER CANYON RD DUBLIN 94568,905-1-4-4,,PD,0,85.0,5.950743855457989
Dublin,US HWY 50 W DUBLIN 94568,905-1-5-2,,PD,0,85.0,7.347191463642103
Dublin,3457 CROAK RD DUBLIN 94588,905-1-6-3,,PD,0,85.0,7.537612901027319
Dublin,,905-22-103-2,,PD,0,85.0,0.0035691610709366393
Dublin,,905-22-103-3,,PD,0,85.0,0.03120067866161616
Dublin,CROAK RD DUBLIN 94568,905-25-1,,PD,0,85.0,0.04472199362369991
Dublin,CROAK RD DUBLIN 94568,905-25-2,,PD,0,85.0,0.034010874785147645
Dublin,CROAK RD DUBLIN 94568,905-25-3,,PD,0,85.0,0.03401227648702644
Dublin,CROAK RD DUBLIN 94568,905-25-4,,PD,0,85.0,0.03409861633819216
Dublin,CROAK RD DUBLIN 94568,905-25-5,,PD,0,85.0,0.03401365646180809
Dublin,CROAK RD DUBLIN 94568,905-25-6,,PD,0,85.0,0.03401292426609139
Dublin,CROAK RD DUBLIN 94568,905-25-7,,PD,0,85.0,0.03402146802953452
Dublin,CROAK RD DUBLIN 94568,905-25-8,,PD,0,85.0,0.0337229542194757
Dublin,CROAK RD DUBLIN 94568,905-25-9,,PD,0,85.0,0.04181490152855331
Dublin,CROAK RD DUBLIN 94568,905-25-10,,PD,0,85.0,0.03647941110657376
Dublin,CROAK RD DUBLIN 94568,905-25-11,,PD,0,85.0,0.02590699927407574
Dublin,CROAK RD DUBLIN 94568,905-25-12,,PD,0,85.0,0.027041763842064817
Dublin,CROAK RD DUBLIN 94568,905-25-13,,PD,0,85.0,0.025826474063310522
Dublin,CROAK RD DUBLIN 94568,905-25-14,,PD,0,85.0,0.029064128419967614
Dublin,CROAK RD DUBLIN 94568,905-25-15,,PD,0,85.0,0.027696103301614223
Dublin,CROAK RD DUBLIN 94568,905-25-16,,PD,0,85.0,0.0316286980739775
Dublin,CROAK RD DUBLIN 94568,905-25-17,,PD,0,85.0,0.0432198790301414
Dublin,CROAK RD DUBLIN 94568,905-25-18,,PD,0,85.0,0.035361606117998164
Dublin,CROAK RD DUBLIN 94568,905-25-19,,PD,0,85.0,0.03605102875344353
Dublin,CROAK RD DUBLIN 94568,905-25-20,,PD,0,85.0,0.018252930584251606
Dublin,CROAK RD DUBLIN 94568,905-25-21,,PD,0,85.0,0.02071459593851704
Dublin,CROAK RD DUBLIN 94568,905-25-22,,PD,0,85.0,0.0415472050015263
Dublin,CROAK RD DUBLIN 94568,905-25-23,,PD,0,85.0,0.04681259206093376
Dublin,CROAK RD DUBLIN 94568,905-25-24,,PD,0,85.0,0.07627536044468892
Dublin,CROAK RD DUBLIN 94568,905-25-25,,PD,0,85.0,0.045655488993209696
Dublin,CROAK RD DUBLIN 94568,905-25-26,,PD,0,85.0,0.026225949121900828
Dublin,CROAK RD DUBLIN 94568,905-25-27,,PD,0,85.0,0.02615573347107438
Dublin,CROAK RD DUBLIN 94568,905-25-28,,PD,0,85.0,0.02493032240013774
Dublin,CROAK RD DUBLIN 94568,905-25-29,,PD,0,85.0,0.025644585055096418
Dublin,CROAK RD DUBLIN 94568,905-25-30,,PD,0,85.0,0.025216296487603304
Dublin,CROAK RD DUBLIN 94568,905-25-31,,PD,0,85.0,0.025576252582644628
Dublin,CROAK RD DUBLIN 94568,905-25-32,,PD,0,85.0,0.025216834538567493
Dublin,CROAK RD DUBLIN 94568,905-25-33,,PD,0,85.0,0.03359774003768318
Dublin,CROAK RD DUBLIN 94568,905-25-34,,PD,0,85.0,0.02626010534431378
Dublin,CROAK RD DUBLIN 94568,905-25-35,,PD,0,85.0,0.025163258998026204
Dublin,CROAK RD DUBLIN 94568,905-25-36,,PD,0,85.0,0.025230581504254303
Dublin,CROAK RD DUBLIN 94568,905-25-37,,PD,0,85.0,0.025303663693785776
Dublin,CROAK RD DUBLIN 94568,905-25-38,,PD,0,85.0,0.036670768878074606
Dublin,CROAK RD DUBLIN 94568,905-25-39,,PD,0,85.0,0.045534507263899945
Dublin,CROAK RD DUBLIN 94568,905-25-40,,PD,0,85.0,0.039931106514017774
Dublin,CROAK RD DUBLIN 94568,905-25-41,,PD,0,85.0,0.02599216597796143
Dublin,CROAK RD DUBLIN 94568,905-25-42,,PD,0,85.0,0.02561615802915519
Dublin,CROAK RD DUBLIN 94568,905-25-43,,PD,0,85.0,0.024602021636822773
Dublin,CROAK RD DUBLIN 94568,905-25-44,,PD,0,85.0,0.024789980773645547
Dublin,CROAK RD DUBLIN 94568,905-25-45,,PD,0,85.0,0.02478908402203857
Dublin,CROAK RD DUBLIN 94568,905-25-46,,PD,0,85.0,0.024789711748163454
Dublin,CROAK RD DUBLIN 94568,905-25-47,,PD,0,85.0,0.024789980773645547
