city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Fremont,,40790310-00-002,,R2,8.8,14.5,1.746309539295763e-05
Fremont,,39371700-00-003,,I,0.0,0.0,5.033153555004363e-05
Fremont,,39393111-05-001,,R1,0.5,7.3,9.254400325542716e-05
Fremont,,39391644-03-004,,R1,0.5,7.3,0.000122337154686
Fremont,,35510000-00-006,,R3,8.3,70.0,0.000125958531851
Fremont,,38213100-00-011,,R3,8.3,70.0,0.0001262623924598
Fremont,,40790320-00-888,,R2,8.8,14.5,0.0001293681793719
Fremont,,39391620-00-012,,R2,8.8,14.5,0.0001295536163696
Fremont,,35450540-01-004,,R3,8.3,70.0,0.0001357895697505
Fremont,,39391714-01-008,,LDR,0.5,7.3,0.0001578743970709
Fremont,,38232700-01-001,,R1,0.5,7.3,0.000169354860369
Fremont,,40872610-01-002,,R3,8.3,70.0,0.0001882937093178
Fremont,,39370520-88-888,,B,0.0,0.0,0.0002333372053067
Fremont,,39391620-01-011,,R2,8.8,14.5,0.0002684937435816
Fremont,,39391714-01-007,,LDR,0.5,7.3,0.0002749550706794
Fremont,,39390000-00-015,,R3,8.3,70.0,0.0003370349597599
Fremont,,38213440-00-003,,B,0.0,0.0,0.0003402826541346
Fremont,,39391210-02-001,,R3,8.3,70.0,0.0003731349475684
Fremont,,35370000-00-008,,R3,8.3,70.0,0.0003832145399826
Fremont,,39391620-00-004,,R2,8.8,14.5,0.0004074909074632
Fremont,,35372100-00-005,,R3,8.3,70.0,0.0004198224883321
Fremont,,39391714-01-002,,LDR,0.5,7.3,0.0004477921797455
Fremont,,38230000-00-069,,R1,0.5,7.3,0.0004618571000343
Fremont,,39430000-00-016,,R3,8.3,70.0,0.0005051566716422
Fremont,,39530320-00-015,,R3,8.3,70.0,0.000561652549579
Fremont,,38250600-01-002,,R3,8.3,70.0,0.0006019204153545
Fremont,,36752900-00-011,,R2,8.8,14.5,0.0007316238660824
Fremont,,39391530-04-009,,R1,0.5,7.3,0.0007819250819385
Fremont,,39530340-01-002,,R1,0.5,7.3,0.0008586585692335
Fremont,,39370520-08-002,,B,0.0,0.0,0.0009521374295676
Fremont,,39531030-88-888,,R1,0.5,7.3,0.0009784115444201
Fremont,,40791520-00-003,,R1,0.5,7.3,0.0010550782640296
