city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Gilroy,,84107062,,R-1,3,7.25,0.16077105778069165
Gilroy,,81061066,,RH,0,4,0.23130925931903365
Gilroy,,80845020,,PO,0,0,0.05143661781004842
Gilroy,,78338019,,R-1,3,7.25,0.20847471258684422
Gilroy,,81069001,,R-3,8,16,0.026989519758621683
Gilroy,,78346068,,RH,0,4,0.5158910963476524
Gilroy,,79028019,,R-1,3,7.25,0.16387132371827964
Gilroy,,81068008,,R-1,3,7.25,0.11309282380457152
Gilroy,,83527012,,R-1,3,7.25,0.15594773722320418
Gilroy,,79942028,,R-1,3,7.25,0.16091237156122773
Gilroy,,78351094,,R-1,3,7.25,0.14949985168087535
Gilroy,,78358016,,R-1,3,7.25,0.15346593865592068
Gilroy,,84111054,,R-2,3,9,0.1724078858750663
Gilroy,,80818027,,Glen Loma Ranch Special District,3,16,0.38753837473650876
Gilroy,,79919060,,R-2,3,9,0.22786689078945396
Gilroy,,79904051,,R-2,3,9,0.1281318875007785
Gilroy,,81063010,,R-1,3,7.25,0.19185464965070492
Gilroy,,79025082,,PF,0,0,0.07652896360557752
Gilroy,,78342044,,R-1,3,7.25,0.16761475268849413
Gilroy,,78372019,,RH,0,4,0.40127412675676244
Gilroy,,80841044,,R-1,3,7.25,0.10296215720693896
Gilroy,,84164101,,R-2,3,9,0.16152947154226024
Gilroy,,79016264,,R-1,3,7.25,0.15781414763118587
Gilroy,,79024063,,R-1,3,7.25,0.13772663416932662
Gilroy,,78367048,,R-1,3,7.25,0.14343611887248603
Gilroy,,80834044,,R-1,3,7.25,0.15949634289968023
Gilroy,,79910068,,R-2,3,9,0.20413518032596442
Gilroy,,79928025,,R-1,3,7.25,0.16297754150138025
Gilroy,,81084041,,Hecker Pass Special District,0,0.4,0.08247445333472223
Gilroy,,79923055,,R-1,3,7.25,0.3054205621522497
Gilroy,,79065032,,ND,0,0,0.11221785903939561
Gilroy,,80852047,,Glen Loma Ranch Special District,3,16,0.1289894645841353
Gilroy,,81033087,,R-1,3,7.25,0.17035503333068247
Gilroy,,80854027,,Glen Loma Ranch Special District,3,16,0.18531490280560775
Gilroy,,78352017,,RH,0,4,0.4234533935785437
Gilroy,,84162009,,R-1,3,7.25,0.11498614249366639
Gilroy,,79055038,,R-1,3,7.25,0.07700472617482734
Gilroy,,79016067,,R-1,3,7.25,0.14074961967561836
Gilroy,,80826022,,R-1,3,7.25,0.17906698121143783
Gilroy,,78371018,,R-1,3,7.25,0.0644912345770433
Gilroy,,84183006,,Cannery District,20,40,0.028782829889881033
Gilroy,,83503055,,R-1,3,7.25,0.138153002109206
Gilroy,,79932023,,R-1,3,7.25,0.14990618474175402
Gilroy,,80818003,,Glen Loma Ranch Special District,3,16,61.91120026926394
Gilroy,,78344042,,R-1,3,7.25,0.15143426213189898
Gilroy,,80832080,,R-1,3,7.25,0.16350203625542173
Gilroy,,78366020,,RH,0,4,0.3267622156361861
Gilroy,,78342057,,R-1,3,7.25,0.1420187623694369
Gilroy,,81048014,,R-1,3,7.25,0.4681309901207548
Gilroy,,80814033,,R-1,3,7.25,0.2417308703279295
Gilroy,,84164003,,R-1,3,7.25,0.1211177679258863
Gilroy,,80841036,,R-1,3,7.25,0.10047857851004882
Gilroy,,78342027,,R-1,3,7.25,0.16536898816428602
Gilroy,,80817087,,R-1,3,7.25,0.16099827892109375
Gilroy,,79947004,,R-3,8,16,0.04076184209710386
Gilroy,,79928014,,R-1,3,7.25,0.20367936962515196
Gilroy,,80810047,,R-1,3,7.25,0.16145126819986821
Gilroy,,81048056,,R-1,3,7.25,0.07703040032378136
Gilroy,,78334075,,R-1,3,7.25,0.13920787248052258
Gilroy,,81061042,,RH,0,4,0.32731093046039395
Gilroy,,79948038,,R-3,8,16,0.06014896648520658
Gilroy,,80830014,,R-1,3,7.25,0.17159177416387353
Gilroy,,80849072,,ND,0,0,0.0971877364876536
Gilroy,,81076052,,R-1,3,7.25,0.15150077031210296
Gilroy,,79913033,,R-3,8,16,0.16235398147400693
Gilroy,,78355040,,R-1,3,7.25,0.1406119975534685
Gilroy,,79052015,,R-1,3,7.25,0.09367124110281656
Gilroy,,79035018,,R-3,8,16,0.24227304669192637
Gilroy,,78337013,,R-1,3,7.25,0.1957012450994951
Gilroy,,79021019,,C-3,0,0,0.1160127671378925
Gilroy,,79919069,,R-1,3,7.25,0.1446279262029024
Gilroy,,78335023,,R-1,3,7.25,0.1504785218835965
Gilroy,,80836001,,R-3,8,16,0.021799750767763863
Gilroy,,81050036,,RH,0,4,0.26372120111769304
Gilroy,,79019097,,R-1,3,7.25,0.15623338595699265
Gilroy,,78374073,,R-1,3,7.25,0.22643738196818797
Gilroy,,78356043,,R-1,3,7.25,0.14629148430252095
Gilroy,,79048009,,R-3,8,16,0.017274958757743514
Gilroy,,80840001,,R-1,3,7.25,0.16977846695899215
Gilroy,,78355005,,R-1,3,7.25,0.15450155719616246
Gilroy,,79933123,,Gateway District,20,30,0.06548798783271052
Gilroy,,80827034,,R-1,3,7.25,0.15667454715314044
Gilroy,,81046052,,R-1,3,7.25,0.2730365692415132
Gilroy,,78335054,,R-1,3,7.25,0.16325888729249366
Gilroy,,78367057,,R-1,3,7.25,0.15579761189101043
Gilroy,,84104022,,R-1,3,7.25,0.2343979312210599
Gilroy,,79940056,,R-1,3,7.25,0.1399591458015839
Gilroy,,81053013,,R-1,3,7.25,0.168609165848165
Gilroy,,80848092,,ND,0,0,0.08639882968193373
Gilroy,,79016261,,R-1,3,7.25,0.08357795298711689
Gilroy,,79053044,,R-1,3,7.25,0.08970697397481567
Gilroy,,84110032,,CM,0,0,0.9682509199520697
Gilroy,,84109051,,R-1,3,7.25,0.1607135325386149
Gilroy,,79945014,,R-1,3,7.25,0.16070895733356919
Gilroy,,81049009,,RH,0,4,0.3073568857819942
Gilroy,,78321045,,R-1,3,7.25,0.13909292944571455
Gilroy,,79035044,,R-3,8,16,0.03171352177804604
Gilroy,,80853021,,Glen Loma Ranch Special District,3,16,0.10565356865758334
Gilroy,,80850008,,Glen Loma Ranch Special District,3,16,0.1357297031766092
Gilroy,,78340061,,R-1,3,7.25,0.17137422226547483
Gilroy,,80831048,,R-1,3,7.25,0.19237294374830807
Gilroy,,78371052,,R-1,3,7.25,0.08071349493446175
Gilroy,,81086050,,Hecker Pass Special District,0,0.4,0.1070122683845837
Gilroy,,79048036,,R-3,8,16,0.013734621714350088
Gilroy,,79065076,,ND,0,0,0.15876829507696233
Gilroy,,81050026,,R-1,3,7.25,0.17736724407742255
Gilroy,,80852135,,Glen Loma Ranch Special District,3,16,0.10333487803942552
Gilroy,,78333001,,R-3,8,16,0.0127067538260155
Gilroy,,79946058,,R-1,3,7.25,0.2053000665561402
Gilroy,,80852038,,Glen Loma Ranch Special District,3,16,0.13028547447078517
Gilroy,,79034056,,R-1,3,7.25,0.2121159142153418
Gilroy,,80817063,,R-1,3,7.25,0.18154167455552758
Gilroy,,79052040,,R-1,3,7.25,0.09095965549103163
Gilroy,,78358017,,R-1,3,7.25,0.1534856541792868
Gilroy,,78344054,,R-1,3,7.25,0.24800409766110673
Gilroy,,79030017,,R-1,3,7.25,0.17258294270032565
Gilroy,,80837023,,R-1,3,7.25,0.15009517033662484
Gilroy,,81061073,,RH,0,4,0.2117645398109967
Gilroy,,80849029,,ND,0,0,0.10937212544752638
Gilroy,,79937057,,R-1,3,7.25,0.2811687354872223
Gilroy,,79014008,,R-1,3,7.25,0.30501984352317146
Gilroy,,78349080,,R-1,3,7.25,0.22046159253466027
Gilroy,,78369008,,R-1,3,7.25,0.1476372532664549
Gilroy,,80804077,,R-1,3,7.25,0.14494246249026643
Gilroy,,78323012,,R-1,3,7.25,0.1570700958263718
Gilroy,,79053072,,R-1,3,7.25,0.08805688201774763
Gilroy,,78328025,,R-3,8,16,0.021381157329939015
Gilroy,,79025076,,PF,0,0,0.07857314983613142
Gilroy,,79902009,,C-1,0,0,0.3603935731983271
Gilroy,,79926026,,R-1,3,7.25,0.1804892306224298
Gilroy,,80830016,,R-1,3,7.25,0.1804572180102247
