city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Hayward,725 AUBURN PL 102,453-0085-092-00,,RM,8.7,17.4,0.017891336494440167
Hayward,725 AUBURN PL 202,453-0085-091-00,,RM,8.7,17.4,0.015906725751262448
Hayward,725 AUBURN PL 201,453-0085-090-00,,RM,8.7,17.4,0.017086023925461633
Hayward,24843 ONEIL AVE 2,444-0036-086-00,,MB-CN,17.5,55,0.09203473220009814
Hayward,24851 ORANGETREE PL 3,444-0036-087-00,,MB-CN,17.5,55,0.03298523625995211
Hayward,24859 ORANGETREE PL 4,444-0036-088-00,,MB-CN,17.5,55,0.05223850875070728
Hayward,22650 TOWN DR 5,428-0082-073-00,,CC-R,0,0,0.023301900879808064
Hayward,22657 TOWN DR 6,428-0082-078-00,,CC-R,0,0,0.022440235575476072
Hayward,22657 TOWN DR 4,428-0082-080-00,,CC-R,0,0,0.02300789717924947
Hayward,22657 TOWN DR 2,428-0082-082-00,,CC-R,0,0,0.023538383051800175
Hayward,734 CITY WALK PL 1,428-0082-071-00,,CC-R,0,0,0.023043408126443198
Hayward,22650 TOWN DR 3,428-0082-075-00,,CC-R,0,0,0.022936815956223346
Hayward,746 CITY WALK PL 3,428-0082-086-00,,CC-R,0,0,0.02359809646022149
Hayward,22650 TOWN DR 1,428-0082-077-00,,CC-R,0,0,0.02159640448816296
Hayward,22650 TOWN DR 6,428-0082-072-00,,CC-R,0,0,0.016335740253780782
Hayward,24849 ALDERBERRY PL 9,444-0036-093-00,,MB-CN,17.5,55,0.04047353264820297
Hayward,725 AUBURN PL 101,453-0085-089-00,,RM,8.7,17.4,0.017428875049793853
Hayward,725 AUBURN PL 108,453-0085-104-00,,RM,8.7,17.4,0.014059608337696077
Hayward,725 AUBURN PL 208,453-0085-103-00,,RM,8.7,17.4,0.013727978281623771
Hayward,725 AUBURN PL 206,453-0085-099-00,,RM,8.7,17.4,0.014029280990024826
Hayward,725 AUBURN PL 205,453-0085-100-00,,RM,8.7,17.4,0.013823438331832348
Hayward,24857 ALDERBERRY PL 10,444-0036-094-00,,MB-CN,17.5,55,0.04886462469050062
Hayward,30995 HUNTWOOD AVE 304,475-0173-048-00,,IP,0,0,0.05165806785650836
Hayward,30997 HUNTWOOD AVE 101,475-0173-028-00,,IP,0,0,0.057795689112654834
Hayward,30997 HUNTWOOD AVE 102,475-0173-029-00,,IP,0,0,0.05780738125431998
Hayward,30997 HUNTWOOD AVE 103,475-0173-030-00,,IP,0,0,0.05782846223710269
Hayward,30997 HUNTWOOD AVE 104,475-0173-031-00,,IP,0,0,0.057830163916824315
Hayward,734 CITY WALK PL 3,428-0082-069-00,,CC-R,0,0,0.027586201469004038
Hayward,30997 HUNTWOOD AVE 107,475-0173-034-00,,IP,0,0,0.05516368473813887
Hayward,30997 HUNTWOOD AVE 108,475-0173-035-00,,IP,0,0,0.055163357872535554
Hayward,30993 HUNTWOOD AVE 201,475-0173-036-00,,IP,0,0,0.018892266116084473
Hayward,30993 HUNTWOOD AVE 202,475-0173-037-00,,IP,0,0,0.03174761891513219
Hayward,24873 ALDERBERRY PL 11,444-0036-095-00,,MB-CN,17.5,55,0.04740647842023974
Hayward,24889 ALDERBERRY PL 13,444-0036-097-00,,MB-CN,17.5,55,0.057275844586666666
Hayward,24885 LIMETREE PL 16,444-0036-100-00,,MB-CN,17.5,55,0.07008583621540475
Hayward,24887 LIMETREE PL 17,444-0036-101-00,,MB-CN,17.5,55,0.061444900807038565
Hayward,24891 ONEIL AVE 18,444-0036-102-00,,MB-CN,17.5,55,0.08768204173943572
Hayward,789 PLANTATION LN 1,444-0036-085-00,,MB-CN,17.5,55,0.0489495389645965
Hayward,24883 ONEIL AVE 19,444-0036-103-00,,MB-CN,17.5,55,0.09389013023253664
Hayward,769 PLANTATION LN 15,444-0036-099-00,,MB-CN,17.5,55,0.053442894849689074
Hayward,749 PLANTATION LN 14,444-0036-098-00,,MB-CN,17.5,55,0.039629881333736815
