city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Lafayette,,249100012,,LR-10,0,4.0,5.1
Lafayette,,249100011,,LR-10,0,4.0,5.61
Lafayette,,249090003,,R-20,0,2.0,3.8
Lafayette,,249110011,,R-20,0,2.0,8.65
Lafayette,,249110005,,R-20,0,2.0,0.71
Lafayette,,249090005,,R-20,0,2.0,2.22
Lafayette,,249090006,,R-20,0,2.0,1.22
Lafayette,,249090002,,R-20,0,2.0,3.3
Lafayette,,249090001,,R-20,0,2.0,4.046
Lafayette,,249080008,,R-20,0,2.0,1.16
Lafayette,,249080010,,R-20,0,2.0,1.85
Lafayette,,249090XXX,,R-20,0,2.0,0.0
Lafayette,,249090007,,R-20,0,2.0,2.06
Lafayette,,249090004,,R-20,0,2.0,1.101
Lafayette,,249080007,,R-20,0,2.0,1.22
Lafayette,,249060009,,R-20,0,2.0,1.35
Lafayette,,249060007,,R-20,0,2.0,1.5
Lafayette,,249060006,,R-20,0,2.0,1.06
Lafayette,,249060008,,R-20,0,2.0,1.0
Lafayette,,249060010,,R-20,0,2.0,2.73
Lafayette,,249060013,,R-20,0,2.0,1.924
Lafayette,,249060004,,R-20,0,2.0,1.1
Lafayette,,249060014,,R-20,0,2.0,0.831
Lafayette,,249060005,,R-20,0,2.0,1.16
Lafayette,,247150005,,R-20,0,2.0,3.23
Lafayette,,247150017,,R-20,0,2.0,1.364
Lafayette,,247150011,,R-20,0,2.0,1.53
Lafayette,,247150013,,R-20,0,2.0,2.396
Lafayette,,247140007,,R-20,0,2.0,1.244
Lafayette,,249060012,,R-20,0,2.0,2.38
Lafayette,,249080004,,R-20,0,2.0,3.67
Lafayette,,249080002,,R-20,0,2.0,3.35
Lafayette,,249080003,,R-20,0,2.0,2.92
Lafayette,,249080012,,R-20,0,2.0,1.14
Lafayette,,249070007,,R-20,0,2.0,4.6
Lafayette,,249050002,,R-20,0,2.0,1.14
Lafayette,,249050004,,R-20,0,2.0,2.53
Lafayette,,249050015,,R-20,0,2.0,2.89
Lafayette,,247050012,,R-20,0,2.0,11.94
Lafayette,,247120005,,R-20,0,2.0,1.02
Lafayette,,247120012,,R-20,0,2.0,1.668
Lafayette,,247131019,,R-20,0,2.0,0.524
Lafayette,,247131011,,R-20,0,2.0,0.66
Lafayette,,247131014,,R-20,0,2.0,1.0
Lafayette,,247140001,,R-20,0,2.0,1.49
Lafayette,,247140002,,R-20,0,2.0,1.05
Lafayette,,247140003,,R-20,0,2.0,1.07
Lafayette,,247140004,,R-20,0,2.0,1.08
Lafayette,,247140006,,R-20,0,2.0,1.08
Lafayette,,247131015,,R-20,0,2.0,0.55
Lafayette,,247132016,,R-20,0,2.0,0.0
Lafayette,,247150016,,R-20,0,2.0,1.616
Lafayette,,247132019,,R-20,0,2.0,1.11
Lafayette,,247132013,,R-20,0,2.0,0.0
Lafayette,,247132018,,R-20,0,2.0,0.7
Lafayette,,247132017,,R-20,0,2.0,0.0
Lafayette,,247132015,,R-20,0,2.0,0.0
Lafayette,,247132009,,R-20,0,2.0,0.0
Lafayette,,247132001,,R-20,0,2.0,0.91
Lafayette,,247131020,,R-20,0,2.0,1.32
Lafayette,,247131005,,R-20,0,2.0,1.29
Lafayette,,247131013,,R-20,0,2.0,0.6
Lafayette,,247131022,,R-20,0,2.0,0.861
Lafayette,,247040024,,R-20,0,2.0,2.54
Lafayette,,247040028,,R-20,0,2.0,1.789
Lafayette,,247032008,,R-20,0,2.0,0.59
Lafayette,,247131021,,R-20,0,2.0,1.26
Lafayette,,247132020,,R-20,0,2.0,0.697
Lafayette,,247031024,,R-20,0,2.0,0.73
Lafayette,,247032014,,R-20,0,2.0,0.64
Lafayette,,247032002,,R-20,0,2.0,0.82
Lafayette,,247032015,,R-20,0,2.0,0.7
Lafayette,,247032003,,R-20,0,2.0,0.5
Lafayette,,247032012,,R-20,0,2.0,0.9
Lafayette,,247032016,,R-20,0,2.0,1.17
Lafayette,,247032010,,R-20,0,2.0,1.02
Lafayette,,247032006,,R-20,0,2.0,0.5
Lafayette,,247040014,,R-20,0,2.0,0.57
Lafayette,,247040002,,R-20,0,2.0,0.5
Lafayette,,247040016,,R-20,0,2.0,1.11
Lafayette,,247040015,,R-20,0,2.0,0.0
Lafayette,,247040006,,R-20,0,2.0,0.73
Lafayette,,247040020,,R-20,0,2.0,1.98
Lafayette,,247040019,,R-20,0,2.0,1.94
Lafayette,,247040005,,R-20,0,2.0,1.0
Lafayette,,247050001,,R-20,0,2.0,1.33
Lafayette,,247050013,,R-20,0,2.0,5.16
Lafayette,,247050002,,R-20,0,2.0,0.87
Lafayette,,247050011,,R-20,0,2.0,2.47
Lafayette,,247120003,,R-20,0,2.0,1.12
Lafayette,,247120004,,R-20,0,2.0,0.92
Lafayette,,247120008,,R-20,0,2.0,0.96
Lafayette,,247120010,,R-20,0,2.0,1.1
Lafayette,,247120009,,R-20,0,2.0,0.82
Lafayette,,249050014,,R-20,0,2.0,4.08
Lafayette,,249040006,,R-20,0,2.0,0.0
Lafayette,,249040005,,R-20,0,2.0,0.99
Lafayette,,249040004,,R-20,0,2.0,1.32
Lafayette,,247110006,,R-20,0,2.0,4.19
Lafayette,,247120001,,R-20,0,2.0,1.93
Lafayette,,249040003,,R-20,0,2.0,1.0
Lafayette,,249040002,,R-20,0,2.0,0.0
Lafayette,,247110007,,R-20,0,2.0,0.23
Lafayette,,247110012,,R-20,0,2.0,1.589
Lafayette,,247110013,,R-20,0,2.0,0.906
Lafayette,,247100014,,R-65,0,0.67,0.0
Lafayette,,247100015,,R-65,0,0.67,0.0
Lafayette,,247100013,,R-65,0,0.67,3.12
Lafayette,,247090010,,R-20,0,2.0,2.61
Lafayette,,247090009,,R-20,0,2.0,1.86
Lafayette,,247090011,,R-20,0,2.0,1.1
Lafayette,,247090012,,R-20,0,2.0,1.05
Lafayette,,247090013,,R-20,0,2.0,0.07
Lafayette,,247090005,,R-20,0,2.0,1.144
Lafayette,,247100012,,R-65,0,0.67,2.4
Lafayette,,247100006,,R-20,0,2.0,1.09
Lafayette,,247100002,,R-20,0,2.0,2.96
Lafayette,,247100001,,R-20,0,2.0,0.0
Lafayette,,247090008,,R-20,0,2.0,0.0
Lafayette,,247090006,,R-20,0,2.0,0.0
Lafayette,,247090007,,R-20,0,2.0,0.0
Lafayette,,249020004,,R-20,0,2.0,0.0
Lafayette,,249020003,,R-20,0,2.0,0.0
Lafayette,,249010013,,R-20,0,2.0,0.48
Lafayette,,249010038,,R-20,0,2.0,0.5
Lafayette,,249010016,,R-20,0,2.0,0.49
Lafayette,,249020002,,R-20,0,2.0,0.0
Lafayette,,249010018,,R-20,0,2.0,1.0
Lafayette,,249010017,,R-20,0,2.0,0.51
Lafayette,,249010009,,R-20,0,2.0,0.6
Lafayette,,249010010,,R-20,0,2.0,1.25
Lafayette,,249010039,,R-20,0,2.0,0.5
Lafayette,,249010028,,R-20,0,2.0,0.59
Lafayette,,249010027,,R-20,0,2.0,0.61
Lafayette,,249010042,,R-20,0,2.0,1.67
Lafayette,,249010043,,R-20,0,2.0,1.8
Lafayette,,249130003,,R-20,0,2.0,1.21
Lafayette,,249010029,,R-20,0,2.0,0.94
Lafayette,,249020005,,R-20,0,2.0,0.0
Lafayette,,249020006,,R-20,0,2.0,0.0
Lafayette,,249020007,,R-20,0,2.0,0.0
Lafayette,,249030001,,R-20,0,2.0,0.0
Lafayette,,247100007,,R-20,0,2.0,0.62
Lafayette,,247110002,,R-20,0,2.0,0.0
Lafayette,,249030002,,R-20,0,2.0,0.0
Lafayette,,249030004,,R-20,0,2.0,0.0
Lafayette,,249030006,,R-20,0,2.0,0.0
Lafayette,,249030005,,R-20,0,2.0,0.0
Lafayette,,249030003,,R-20,0,2.0,0.0
Lafayette,,249130006,,R-20,0,2.0,0.5
Lafayette,,249130005,,R-20,0,2.0,0.49
Lafayette,,249130004,,R-20,0,2.0,0.58
