city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Livermore,67 S LIVERMORE AVE LIVERMORE 94550,97-1-6,,DSP,0,55.0,0.024394423639807164
Livermore,73 S LIVERMORE AVE LIVERMORE 94550,97-1-7-2,,DSP,0,55.0,0.0037770280934343436
Livermore,2242 1ST ST LIVERMORE 94550,97-1-8-2,,DSP,0,55.0,0.0034430972728929574
Livermore,2226 1ST ST LIVERMORE 94550,97-1-9,,DSP,0,55.0,0.028079893394168963
Livermore,2206 1ST ST LIVERMORE 94550,97-1-10,,DSP,0,55.0,0.007735379361799816
Livermore,2200 1ST ST LIVERMORE 94550,97-1-11,,DSP,0,55.0,0.0106572651228191
Livermore,2196 1ST ST LIVERMORE 94550,97-1-12,,DSP,0,55.0,0.010658251549586778
Livermore,2190 1ST ST LIVERMORE 94550,97-1-13,,DSP,0,55.0,0.010658879275711661
Livermore,2184 1ST ST LIVERMORE 94550,97-1-14,,DSP,0,55.0,0.025919080721992654
Livermore,2136 1ST ST LIVERMORE 94550,97-1-15,,DSP,0,55.0,0.045967308023415976
Livermore,2118 1ST ST LIVERMORE 94550,97-1-16,,DSP,0,55.0,0.010062808482552801
Livermore,2112 1ST ST LIVERMORE 94550,97-1-17,,DSP,0,55.0,0.024123066603535352
Livermore,2086 1ST ST LIVERMORE 94550,97-1-18,,DSP,0,55.0,0.011753902662993572
Livermore,2080 1ST ST LIVERMORE 94550,97-1-20,,DSP,0,55.0,0.012108926624196511
Livermore,2032 1ST ST LIVERMORE 94550,97-1-23,,DSP,0,55.0,0.01615740142906336
Livermore,2008 1ST ST LIVERMORE 94550,97-1-24-1,,DSP,0,55.0,0.03166340249081726
Livermore,1ST ST LIVERMORE 94550,97-1-28-1,,DSP,0,55.0,0.0037083369203397614
Livermore,43 S LIVERMORE AVE LIVERMORE 94550,97-1-33,,DSP,0,55.0,0.11717973037001132
Livermore,2056 1ST ST LIVERMORE 94550,97-1-34,,DSP,0,55.0,0.008562722394398531
Livermore,2062 1ST ST LIVERMORE 94550,97-1-35,,DSP,0,55.0,0.014416716884756658
Livermore,2038 1ST ST LIVERMORE 94550,97-1-37,,DSP,0,55.0,0.0063178840966483015
Livermore,2044 1ST ST LIVERMORE 94550,97-1-38,,DSP,0,55.0,0.010058683425160697
Livermore,1870 1ST ST LIVERMORE 94550,97-4-1-2,,DSP,0,55.0,0.14924547319788797
Livermore,1814 1ST ST LIVERMORE 94550,97-4-2-2,,DSP,0,55.0,0.10660340980831037
Livermore,1790 1ST ST LIVERMORE 94550,97-5-1-10,,DSP,0,55.0,0.07249017160238751
Livermore,1764 1ST ST LIVERMORE 94550,97-5-1-11,,DSP,0,55.0,0.12985886923209367
