city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Milpitas,Zoning By Parcel: 1,2948019,LDR,R1-10,1,4.3,0.3
Milpitas,Zoning By Parcel: 2,2948018,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 3,2948017,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 4,2948020,LDR,R1-10,1,4.3,0.3
Milpitas,Zoning By Parcel: 5,2948044,LDR,R1-10,1,4.3,0.3
Milpitas,Zoning By Parcel: 6,2948043,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 7,2948016,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 8,2948042,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 9,2948015,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 10,2948041,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 11,2948021,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 12,2948036,LDR,R1-10,1,4.3,0.3
Milpitas,Zoning By Parcel: 14,2948022,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 15,2948040,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 16,2948039,LDR,R1-10,1,4.3,0.3
Milpitas,Zoning By Parcel: 17,2948035,LDR,R1-10,1,4.3,0.3
Milpitas,Zoning By Parcel: 18,2948037,LDR,R1-10,1,4.3,0.3
Milpitas,Zoning By Parcel: 19,2946001,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 20,2948023,LDR,R1-10,1,4.3,0.2
Milpitas,Zoning By Parcel: 21,2945001,LDR,R1-10,1,4.3,0.3
Milpitas,Zoning By Parcel: 23,2948038,LDR,R1-10,1,4.3,0.3
Milpitas,Zoning By Parcel: 24,2945011,LDR,R1-10,1,4.3,0.3
Milpitas,Zoning By Parcel: 25,2948034,LDR,R1-10,1,4.3,0.2
