city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Newark,6662 MAYHEWS LANDING RD NEWARK 94560,92-1-1-3,,R-6000,0,7.26,0.030933357007575758
Newark,6648 MAYHEWS LANDING RD NEWARK 94560,92-1-2,,R-6000,0,7.26,0.023507715650826447
Newark,6634 MAYHEWS LANDING RD NEWARK 94560,92-1-3-1,,R-6000,0,7.26,0.025994472160483853
Newark,6620 MAYHEWS LANDING RD NEWARK 94560,92-1-4,,R-6000,0,7.26,0.01838098671372819
Newark,6560 MAYHEWS LANDING RD NEWARK 94560,92-1-5,,R-6000,0,7.26,0.024924224489210285
Newark,6546 MAYHEWS LANDING RD NEWARK 94560,92-1-6,,R-6000,0,7.26,0.02345274477731864
Newark,6532 MAYHEWS LANDING RD NEWARK 94560,92-1-7,,R-6000,0,7.26,0.020890994461662076
Newark,6518 MAYHEWS LANDING RD NEWARK 94560,92-1-8-2,,R-6000,0,7.26,0.018186518142155488
Newark,36523 CHERRY ST NEWARK 94560,92-1-9-7,,R-6000,0,7.26,0.019300090481208156
Newark,36517 CHERRY ST NEWARK 94560,92-1-9-8,,R-6000,0,7.26,0.032769386646832974
Newark,36535 CHERRY ST NEWARK 94560,92-1-10-1,,R-6000,0,7.26,0.039056491764233245
Newark,36541 CHERRY ST NEWARK 94560,92-1-11,,R-6000,0,7.26,0.03363966368227732
Newark,36547 CHERRY ST NEWARK 94560,92-1-12,,R-6000,0,7.26,0.033639394656795225
Newark,36553 CHERRY ST NEWARK 94560,92-1-13,,R-6000,0,7.26,0.033639484331955925
Newark,36559 CHERRY ST NEWARK 94560,92-1-14,,R-6000,0,7.26,0.033639394656795225
Newark,36565 CHERRY ST NEWARK 94560,92-1-15,,R-6000,0,7.26,0.016648372933884298
Newark,6507 GEORGE AVE NEWARK 94560,92-1-16,,R-6000,0,7.26,0.016306710571625343
Newark,6523 GEORGE AVE NEWARK 94560,92-1-17,,R-6000,0,7.26,0.01699003529614325
Newark,6539 GEORGE AVE NEWARK 94560,92-1-18,,R-6000,0,7.26,0.02548478391873278
Newark,6555 GEORGE AVE NEWARK 94560,92-1-19,,R-6000,0,7.26,0.025487743199035812
Newark,6619 GEORGE AVE NEWARK 94560,92-1-20,,R-6000,0,7.26,0.02548191431359045
Newark,6635 GEORGE AVE NEWARK 94560,92-1-21,,R-6000,0,7.26,0.025484694243572085
Newark,6651 GEORGE AVE NEWARK 94560,92-1-22,,R-6000,0,7.26,0.02548451489325069
Newark,36598 MULBERRY ST NEWARK 94560,92-1-23,,R-6000,0,7.26,0.025484604568411385
Newark,36584 MULBERRY ST NEWARK 94560,92-1-24,,R-6000,0,7.26,0.033978635789715335
Newark,36576 MULBERRY ST NEWARK 94560,92-1-25,,R-6000,0,7.26,0.033978635789715335
Newark,36568 MULBERRY ST NEWARK 94560,92-1-26,,R-6000,0,7.26,0.03397881514003673
Newark,36560 MULBERRY ST NEWARK 94560,92-1-27,,R-6000,0,7.26,0.033978635789715335
Newark,36552 MULBERRY ST NEWARK 94560,92-1-28,,R-6000,0,7.26,0.03397890481519743
Newark,36544 MULBERRY ST NEWARK 94560,92-1-29-1,,R-6000,0,7.26,0.04061716609695179
Newark,MAYHEWS LANDING RD NEWARK 94560,92-1-30-5,,R-6000,0,7.26,0.004924332099403122
Newark,36528 MULBERRY ST NEWARK 94560,92-1-30-9,,R-6000,0,7.26,0.04558200988340422
Newark,MULBERRY ST NEWARK 94560,92-1-31,,R-6000,0,7.26,0.07558761939365345
Newark,6744 MAYHEWS LANDING RD NEWARK 94560,92-5-1-2,,R-6000,0,7.26,0.04197434214302112
Newark,6726 MAYHEWS LANDING RD NEWARK 94560,92-5-2,,R-6000,0,7.26,0.03189494375573921
Newark,6676 MAYHEWS LANDING RD NEWARK 94560,92-5-3-1,,R-6000,0,7.26,0.04052259096648301
Newark,MULBERRY ST NEWARK 94560,92-5-4-5,,R-6000,0,7.26,0.0003197816230486685
Newark,MULBERRY ST NEWARK 94560,92-5-5-4,,R-6000,0,7.26,9.164801423324151e-05
Newark,36527 MULBERRY ST NEWARK 94560,92-5-5-6,,R-6000,0,7.26,0.036446944587924704
Newark,36535 MULBERRY ST NEWARK 94560,92-5-6,,R-6000,0,7.26,0.025484604568411385
Newark,36543 MULBERRY ST NEWARK 94560,92-5-7,,R-6000,0,7.26,0.025484604568411385
Newark,36551 MULBERRY ST NEWARK 94560,92-5-8,,R-6000,0,7.26,0.025484604568411385
Newark,36559 MULBERRY ST NEWARK 94560,92-5-9,,R-6000,0,7.26,0.025484425218089992
Newark,36567 MULBERRY ST NEWARK 94560,92-5-10,,R-6000,0,7.26,0.025484604568411385
Newark,36575 MULBERRY ST NEWARK 94560,92-5-11,,R-6000,0,7.26,0.025473305498163453
Newark,36583 MULBERRY ST NEWARK 94560,92-5-12,,R-6000,0,7.26,0.025495186237373738
Newark,6733 GEORGE AVE NEWARK 94560,92-5-15,,R-6000,0,7.26,0.0254840665174472
Newark,6745 GEORGE AVE NEWARK 94560,92-5-16,,R-6000,0,7.26,0.025484156192607896
