city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Oakley,,032082016,SP-4,SP-1,0.0,17.0,256.65
Oakley,,032270802,SP-4,SP-1,0.0,17.0,538.18
Oakley,,032081019,Commercial Recreation,SP-1,0.0,17.0,7.12
Oakley,,032082011,SP-4,SP-1,0.0,17.0,8.22
Oakley,,032082010,SP-4,SP-1,0.0,17.0,8.22
Oakley,,032082009,SP-4,SP-1,0.0,17.0,8.22
Oakley,,032082008,SP-4,SP-1,0.0,17.0,8.219
Oakley,,032370058,SP-4,SP-1,0.0,17.0,13.811
Oakley,,032370080,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032370081,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032370060,SP-4,SP-1,0.0,17.0,16.97
Oakley,,032370078,SP-4,SP-1,0.0,17.0,3.34
Oakley,,032370061,SP-4,SP-1,0.0,17.0,14.64
Oakley,,032370079,SP-4,SP-1,0.0,17.0,2.17
Oakley,,032370062,SP-4,SP-1,0.0,17.0,10.29
Oakley,,032370059,SP-4,SP-1,0.0,17.0,22.29
Oakley,,032370064,SP-4,SP-1,0.0,17.0,13.5
Oakley,,032082004,SP-4,SP-1,0.0,17.0,44.2
Oakley,,032082002,SP-4,SP-1,0.0,17.0,0.25
Oakley,,032082015,SP-4,SP-1,0.0,17.0,25.99
Oakley,,032082012,SP-4,SP-1,0.0,17.0,7.75
Oakley,,032082014,SP-4,SP-1,0.0,17.0,0.986
Oakley,,032600014,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600013,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600041,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032370056,SP-4,SP-1,0.0,17.0,20.131
Oakley,,032370057,SP-4,SP-1,0.0,17.0,13.128
Oakley,,032610010,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610011,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610012,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610013,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610014,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610015,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610033,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610034,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610032,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610030,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610031,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610004,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610005,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610006,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610007,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610008,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610009,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600080,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600079,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032370071,SP-4,SP-1,0.0,17.0,7.66
Oakley,,032600081,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600063,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600062,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600061,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600083,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600084,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600082,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600085,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600086,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600087,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600015,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600016,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600017,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600034,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600018,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600031,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600032,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600033,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600035,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600058,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600059,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600069,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600065,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600060,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600068,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600064,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600066,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600074,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600067,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600073,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600072,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600076,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600078,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600075,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600077,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600042,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600049,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600050,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600051,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600052,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600053,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600045,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600044,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600043,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600040,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600038,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600037,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600039,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600012,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600011,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600010,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600009,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600036,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600047,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600026,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600046,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600048,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600056,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600071,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600054,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600057,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600070,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600055,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600030,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600029,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600027,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600028,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600022,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600021,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600019,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600020,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600023,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600024,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600089,SP-4,SP-1,0.0,17.0,1.17
Oakley,,032600002,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600001,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600003,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600005,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600004,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600025,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600007,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600006,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600008,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032370052,SP-4,SP-1,0.0,17.0,15.7
Oakley,,032660028,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660029,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660030,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660031,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660032,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610001,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032600088,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610002,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660033,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660035,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660037,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660036,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610053,SP-4,SP-1,0.0,17.0,1.96
Oakley,,032610027,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610003,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610029,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610028,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610037,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610036,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610035,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610046,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610047,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610044,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610045,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032610038,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660053,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660054,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660055,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660038,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660039,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660040,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660034,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660024,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660041,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660022,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660021,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660020,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660042,SP-4,SP-1,0.0,17.0,0.0
Oakley,,032660043,SP-4,SP-1,0.0,17.0,0.0
