city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Pleasant Hill,,148360024,,LI,0.0,0.0,0.765685743749963
Pleasant Hill,,148360008,,LI,0.0,0.0,1.12
Pleasant Hill,,148360028,,LI,0.0,0.0,3.23
Pleasant Hill,,148371014,,LI,0.0,0.0,1.2757797915424551
Pleasant Hill,,148051016,,R7,4.6,6.2,0.31701997494805634
Pleasant Hill,,148051001,,R7,4.6,6.2,0.16431309876089753
Pleasant Hill,,148051002,,R7,4.6,6.2,0.1571055668463776
Pleasant Hill,,148051015,,R7,4.6,6.2,0.17252384518497588
Pleasant Hill,,148372007,,LI,0.0,0.0,0.94
Pleasant Hill,,148490020,,PUD,0.0,73.0,0.04651079776036201
Pleasant Hill,,148490021,,PUD,0.0,73.0,0.06395705593790392
Pleasant Hill,,148490022,,PUD,0.0,73.0,0.051729370416351284
Pleasant Hill,,148490023,,PUD,0.0,73.0,0.052187364168434516
Pleasant Hill,,148490026,,PUD,0.0,73.0,0.9604353853098551
Pleasant Hill,,148490024,,PUD,0.0,73.0,0.062327489422441776
Pleasant Hill,,148490025,,PUD,0.0,73.0,0.07642409685527925
Pleasant Hill,,148490004,,PUD,0.0,73.0,0.04968851377497813
Pleasant Hill,,148490003,,PUD,0.0,73.0,0.05030464428253196
Pleasant Hill,,148490005,,PUD,0.0,73.0,0.06582070796558301
Pleasant Hill,,148490006,,PUD,0.0,73.0,0.07900437004561424
Pleasant Hill,,148490009,,PUD,0.0,73.0,0.0692325887013735
Pleasant Hill,,148490008,,PUD,0.0,73.0,0.05213537526629194
Pleasant Hill,,148490007,,PUD,0.0,73.0,0.05183842629575424
Pleasant Hill,,148490018,,PUD,0.0,73.0,0.05285375083658381
Pleasant Hill,,148490017,,PUD,0.0,73.0,0.04854570195561605
Pleasant Hill,,148490012,,PUD,0.0,73.0,0.05556080420937822
Pleasant Hill,,148490013,,PUD,0.0,73.0,0.05291986495442821
Pleasant Hill,,148490014,,PUD,0.0,73.0,0.04892242374246197
Pleasant Hill,,148490015,,PUD,0.0,73.0,0.08899680696870642
Pleasant Hill,,148490016,,PUD,0.0,73.0,0.06672976252316562
Pleasant Hill,,148490019,,PUD,0.0,73.0,0.07579215072031663
Pleasant Hill,,148372012,,LI,0.0,0.0,1.02
Pleasant Hill,,148372014,,LI,0.0,0.0,1.04
Pleasant Hill,,148371015,,LI,0.0,0.0,1.733001418417212
Pleasant Hill,,148371012,,LI,0.0,0.0,1.0
Pleasant Hill,,148371013,,LI,0.0,0.0,1.0
Pleasant Hill,,148360027,,LI,0.0,0.0,4.956
Pleasant Hill,,148100033,,MRH,30.0,40.0,1.88
Pleasant Hill,,148372008,,LI,0.0,0.0,0.5766242903516798
Pleasant Hill,,148371010,,LI,0.0,0.0,0.5818795294594186
Pleasant Hill,,148371011,,LI,0.0,0.0,1.4974859073724944
Pleasant Hill,,148372013,,LI,0.0,0.0,0.6694175102128846
Pleasant Hill,,148372010,,LI,0.0,0.0,0.6668299440849307
Pleasant Hill,,148490011,,PUD,0.0,73.0,0.05491797248710228
Pleasant Hill,,148490010,,PUD,0.0,73.0,0.10150437943760078
Pleasant Hill,,148490038,,PUD,0.0,73.0,0.13453825647831386
Pleasant Hill,,148490035,,PUD,0.0,73.0,0.08278930583668
Pleasant Hill,,148490037,,PUD,0.0,73.0,0.07664787321445103
Pleasant Hill,,148090034,,PAO,0.0,0.0,6.78
Pleasant Hill,,148070023,,PUD,0.0,73.0,0.03867036913256502
Pleasant Hill,,148070065,,PUD,0.0,73.0,1.145
Pleasant Hill,,148070025,,PUD,0.0,73.0,0.04701019662695358
Pleasant Hill,,148070026,,PUD,0.0,73.0,0.0386513069787766
Pleasant Hill,,148070030,,PUD,0.0,73.0,0.04557942036158742
Pleasant Hill,,148070029,,PUD,0.0,73.0,0.037513006454343946
Pleasant Hill,,148070027,,PUD,0.0,73.0,0.04549389614060095
Pleasant Hill,,148070028,,PUD,0.0,73.0,0.04215289518659303
Pleasant Hill,,148070068,,PUD,0.0,73.0,0.058647077078847566
Pleasant Hill,,148070007,,PAO,0.0,0.0,0.4
Pleasant Hill,,148100045,,RB,0.0,0.0,2.47
Pleasant Hill,,148100035,,MRH,30.0,40.0,5.62
Pleasant Hill,,148100059,,RB,0.0,0.0,4.371
Pleasant Hill,,148070053,,PUD,0.0,73.0,0.03806927345979883
Pleasant Hill,,148070055,,PUD,0.0,73.0,0.04294753862354228
Pleasant Hill,,148070054,,PUD,0.0,73.0,0.04298203490915623
Pleasant Hill,,148070047,,PUD,0.0,73.0,0.042919191958375597
Pleasant Hill,,148070046,,PUD,0.0,73.0,0.04291152131824178
Pleasant Hill,,148070045,,PUD,0.0,73.0,0.038154145299779306
Pleasant Hill,,148070040,,PUD,0.0,73.0,0.03819520425119546
Pleasant Hill,,148070037,,PUD,0.0,73.0,0.038199902350172434
Pleasant Hill,,148070038,,PUD,0.0,73.0,0.04316223352868439
Pleasant Hill,,148070039,,PUD,0.0,73.0,0.042989476040921744
Pleasant Hill,,148070020,,PAO,0.0,0.0,1.38
Pleasant Hill,,148070035,,PUD,0.0,73.0,0.04704020732072293
Pleasant Hill,,148070036,,PUD,0.0,73.0,0.03818182405723617
Pleasant Hill,,148070041,,PUD,0.0,73.0,0.038183981117577405
Pleasant Hill,,148070042,,PUD,0.0,73.0,0.04702952941379299
Pleasant Hill,,148070043,,PUD,0.0,73.0,0.046997789018511614
Pleasant Hill,,148070032,,PUD,0.0,73.0,0.03756831213210546
Pleasant Hill,,148070031,,PUD,0.0,73.0,0.045612657349223436
Pleasant Hill,,148070024,,PUD,0.0,73.0,0.04697792877706828
Pleasant Hill,,148070033,,PUD,0.0,73.0,0.03757003525667194
Pleasant Hill,,148070034,,PUD,0.0,73.0,0.04428150325619005
Pleasant Hill,,148070067,,PUD,0.0,73.0,0.06806270600969315
Pleasant Hill,,148070044,,PUD,0.0,73.0,0.038153704291684826
Pleasant Hill,,148070048,,PUD,0.0,73.0,0.03812087408033854
Pleasant Hill,,148070049,,PUD,0.0,73.0,0.03812236812515577
Pleasant Hill,,148070050,,PUD,0.0,73.0,0.046969044523333114
Pleasant Hill,,148070063,,PUD,0.0,73.0,0.03528368940350848
Pleasant Hill,,148070062,,PUD,0.0,73.0,0.03525824946542893
Pleasant Hill,,148070051,,PUD,0.0,73.0,0.046899691817360124
Pleasant Hill,,148070052,,PUD,0.0,73.0,0.038069813748967556
Pleasant Hill,,148070059,,PUD,0.0,73.0,0.04389820508249669
