city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Pleasanton,4750 FIRST ST PLEASANTON 94566,94-1-1-3,,P,0,0,1.5866722982667585
Pleasanton,320 ABBIE ST PLEASANTON 94566,94-7-1,,R-1-65,0,0.67,0.018925583964646466
Pleasanton,4664 THIRD ST PLEASANTON 94566,94-7-2,,R-1-65,0,0.67,0.017727792843204776
Pleasanton,4650 THIRD ST PLEASANTON 94566,94-7-3,,R-1-65,0,0.67,0.01772752381772268
Pleasanton,4636 THIRD ST PLEASANTON 94566,94-7-4,,R-1-65,0,0.67,0.017727792843204776
Pleasanton,315 E ANGELA ST PLEASANTON 94566,94-7-5,,R-1-65,0,0.67,0.019119282311753902
Pleasanton,335 E ANGELA ST PLEASANTON 94566,94-7-6,,R-1-65,0,0.67,0.019257651084710743
Pleasanton,355 E ANGELA ST PLEASANTON 94566,94-7-7,,R-1-65,0,0.67,0.01923056918617998
Pleasanton,375 E ANGELA ST PLEASANTON 94566,94-7-8,,R-1-65,0,0.67,0.019200528007346188
Pleasanton,4631 GALE AVE PLEASANTON 94566,94-7-9,,R-1-65,0,0.67,0.017795138888888888
Pleasanton,4647 GALE AVE PLEASANTON 94566,94-7-10,,R-1-65,0,0.67,0.0177904757805326
Pleasanton,4663 GALE AVE PLEASANTON 94566,94-7-11,,R-1-65,0,0.67,0.01778697844926538
Pleasanton,380 ABBIE ST PLEASANTON 94566,94-7-12,,R-1-65,0,0.67,0.01904009914485767
Pleasanton,360 ABBIE ST PLEASANTON 94566,94-7-13,,R-1-65,0,0.67,0.01909103463613407
Pleasanton,340 ABBIE ST PLEASANTON 94566,94-7-14,,R-1-65,0,0.67,0.019091213986455465
Pleasanton,420 ABBIE ST PLEASANTON 94566,94-7-15,,R-1-65,0,0.67,0.018925225264003673
Pleasanton,4668 GALE AVE PLEASANTON 94566,94-7-16,,R-1-65,0,0.67,0.017727434142561983
Pleasanton,4652 GALE AVE PLEASANTON 94566,94-7-17,,R-1-65,0,0.67,0.017727254792240587
Pleasanton,4636 GALE AVE PLEASANTON 94566,94-7-18,,R-1-65,0,0.67,0.01772761349288338
Pleasanton,4620 GALE AVE PLEASANTON 94566,94-7-19,,R-1-65,0,0.67,0.01898432119490358
