city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
San Jose,,71217026,,A,0,0.05,51.40405384
San Jose,,71217027,,A,0,0.05,41.01608484
San Jose,,71217023,,A,0,0.05,0.981230435
San Jose,,71217025,,A,0,0.05,1.7338788
San Jose,,74210019,,A,0,0.05,24.49570943
San Jose,,74210020,,A,0,0.05,11.59403018
San Jose,,74210015,,A,0,0.05,2.079883916
San Jose,,71217014,,A,0,0.05,4.636885084
San Jose,,71217017,,A,0,0.05,17.37288407
San Jose,,74210013,,A,0,0.05,11.21651911
San Jose,,70832004,,A,0,0.05,207.8472786
San Jose,,70832005,,A,0,0.05,2.330075557
San Jose,,70832003,,A,0,0.05,23.61816657
San Jose,,70833006,,A,0,0.05,44.79258458
San Jose,,70833005,,A,0,0.05,21.24127183
San Jose,,70118058,,R-1-5,0,8.0,0.946932673
San Jose,,70118053,,R-1-5,0,8.0,0.198378215
San Jose,,70118052,,R-1-5,0,8.0,0.167419013
San Jose,,70158075,,R-1-5,0,8.0,0.223988182
San Jose,,70158064,,R-1-5,0,8.0,0.212469127
San Jose,,70158074,,R-1-5,0,8.0,0.190645452
San Jose,,70158073,,R-1-5,0,8.0,0.181951027
San Jose,,70158072,,R-1-5,0,8.0,0.18696739
San Jose,,70158066,,R-1-5,0,8.0,0.218129026
San Jose,,70158067,,R-1-5,0,8.0,0.215686835
San Jose,,70158C01,,R-1-5,0,8.0,0.316499136
San Jose,,70158071,,R-1-5,0,8.0,0.192997157
San Jose,,70158068,,R-1-5,0,8.0,0.211124789
San Jose,,70158069,,R-1-5,0,8.0,0.211805675
San Jose,,70158C02,,R-1-5,0,8.0,0.043454322
San Jose,,70158070,,R-1-5,0,8.0,0.180862336
San Jose,,70158065,,R-1-5,0,8.0,0.216190295
San Jose,,58101053,,A,0,0.05,1.000756703
San Jose,,70121030,,A,0,0.05,5.210887469
San Jose,,67851053,,R-1-8,0,5.4,1.166657226
San Jose,,67811001,,A,0,0.05,24.47139982
San Jose,,67804015,,A,0,0.05,8.118352605
San Jose,,67804013,,A,0,0.05,6.432416742
San Jose,,56918018,,MUN,55,250,0.189448466
San Jose,,67809009,,A,0,0.05,7.39185219
San Jose,,67893022,,A,0,0.05,0.571601171
San Jose,,67893023,,A,0,0.05,0.569430982
San Jose,,45811033,,A,0,0.05,0.196060727
San Jose,,45811030,,A,0,0.05,0.555027573
San Jose,,45811031,,A,0,0.05,0.128721657
San Jose,,45811032,,A,0,0.05,0.038994349
San Jose,,45811029,,A,0,0.05,0.17792141
San Jose,,67815013,,A,0,0.05,0.719842153
San Jose,,68434047,,A,0,0.05,1.022752621
San Jose,,67903002,,A,0,0.05,0.850795125
San Jose,,67904002,,A,0,0.05,41.61299937
San Jose,,67903004,,A,0,0.05,0.302701737
San Jose,,67903003,,A,0,0.05,6.669702862
San Jose,,67904003,,A,0,0.05,16.45106277
San Jose,,67839091,,A,0,0.05,0.3237528
San Jose,,46202028,,MUN,55,250,0.172803299
San Jose,,46202027,,MUN,55,250,0.040633159
San Jose,,46202025,,MUN,55,250,0.138053368
San Jose,,67901004,,A,0,0.05,3.734343332
San Jose,,67839090,,A,0,0.05,0.498076233
San Jose,,45928003,,R-1-8,0,5.4,4.951383853
San Jose,,68406019,,A,0,0.05,9.51718107
San Jose,,46214023,,MUN,55,250,1.37892324
San Jose,,46214022,,MUN,55,250,0.223177148
San Jose,,46214016,,MUN,55,250,0.296312296
San Jose,,46214021,,MUN,55,250,2.703943767
San Jose,,46214015,,MUN,55,250,0.084465824
San Jose,,46214014,,MUN,55,250,0.04015878
San Jose,,46214017,,MUN,55,250,2.742787102
San Jose,,46215034,,A,0,0.05,0.107339759
San Jose,,46215036,,A,0,0.05,0.160113694
San Jose,,46215038,,A,0,0.05,1.219984966
San Jose,,46215039,,A,0,0.05,0.532989833
San Jose,,49416001,,A,0,0.05,3.673462082
San Jose,,45526085,,A,0,0.05,0.057082969
San Jose,,40415068,,R-1-8,0,5.4,0.091381424
San Jose,,45512010,,A,0,0.05,2.682678106
San Jose,,49415043,,A,0,0.05,0.06514316
San Jose,,49415046,,A,0,0.05,0.261739667
San Jose,,45545013,,A,0,0.05,5.700667597
San Jose,,45545007,,A,0,0.05,7.758589372
San Jose,,45545006,,A,0,0.05,7.849044058
San Jose,,45545005,,A,0,0.05,0.740032321
San Jose,,45526090,,A,0,0.05,1.106675185
San Jose,,45526070,,A,0,0.05,0.121259367
San Jose,,45526074,,A,0,0.05,0.176657507
San Jose,,45545004,,A,0,0.05,9.007018793
San Jose,,45556C01,,A,0,0.05,0.195166225
San Jose,,45545015,,A,0,0.05,1.684798179
San Jose,,45545010,,A,0,0.05,1.221722473
San Jose,,45545011,,A,0,0.05,0.232898409
San Jose,,45545014,,A,0,0.05,0.005894062
San Jose,,68003008,,R-1-2,0,2.0,5.596942316
San Jose,,66023003,,R-1-8,0,5.4,2.460192247
San Jose,,66023015,,R-1-8,0,5.4,2.132051755
San Jose,,66023008,,R-1-8,0,5.4,0.425785075
San Jose,,66023017,,R-1-8,0,5.4,0.747890632
San Jose,,66023010,,R-1-8,0,5.4,0.519162018
San Jose,,66034049,,R-1-8,0,5.4,0.367644981
San Jose,,67613068,,R-1-8,0,5.4,0.124345813
San Jose,,67613069,,R-1-8,0,5.4,0.176565468
San Jose,,49920026,,R-1-8,0,5.4,0.598913439
San Jose,,26407071,,MUN,55,250,0.467446199
San Jose,,47720047,,R-1-8,0,5.4,3.849924758
San Jose,,65207022,,R-1-8,0,5.4,0.26471305
San Jose,,65219007,,R-1-8,0,5.4,0.416487213
San Jose,,65219066,,R-1-8,0,5.4,0.272264624
San Jose,,65219068,,R-1-8,0,5.4,0.009333456
San Jose,,64927008,,R-1-8,0,5.4,0.715766515
San Jose,,64927013,,R-1-8,0,5.4,0.0205508
San Jose,,65201008,,R-1-RR,0,1.0,6.615967431
San Jose,,65201007,,R-1-RR,0,1.0,0.669351862
San Jose,,65419003,,R-1-RR,0,1.0,0.499254505
San Jose,,65419004,,R-1-RR,0,1.0,0.206204419
San Jose,,48439109,,A,0,0.05,0.124462476
San Jose,,48439110,,A,0,0.05,0.415691509
San Jose,,48106012,,A,0,0.05,0.258278164
San Jose,,48106013,,A,0,0.05,0.258213056
San Jose,,48106014,,A,0,0.05,0.25825509
San Jose,,48106015,,A,0,0.05,0.258209887
San Jose,,64707074,,R-1-8,0,5.4,0.88630008
San Jose,,48106008,,A,0,0.05,0.290642548
San Jose,,48106009,,A,0,0.05,0.254274644
San Jose,,48106010,,A,0,0.05,0.254323429
San Jose,,48106011,,A,0,0.05,0.254274644
San Jose,,61270016,,A,0,0.05,7.126035621
San Jose,,61270017,,A,0,0.05,0.202007395
San Jose,,61270018,,A,0,0.05,1.760468795
San Jose,,48417041,,A,0,0.05,0.674207263
San Jose,,48408030,,A,0,0.05,2.771910842
San Jose,,48408031,,A,0,0.05,2.049586416
San Jose,,61222037,,A,0,0.05,0.230535182
San Jose,,61223043,,A,0,0.05,0.219875729
San Jose,,61223044,,A,0,0.05,0.179096165
San Jose,,25445047,,A,0,0.05,0.332003435
San Jose,,25445108,,A,0,0.05,0.555525449
San Jose,,59901055,,A,0,0.05,0.958787185
San Jose,,25415049,,A,0,0.05,0.64702236
San Jose,,25415053,,A,0,0.05,1.678905714
San Jose,,24508067,,A,0,0.05,0.392924445
San Jose,,25429022,,A,0,0.05,1.852559281
San Jose,,25429023,,A,0,0.05,3.495061078
San Jose,,59203069,,A,0,0.05,0.06923318
San Jose,,24135067,,R-1-8,0,5.4,0.250323958
San Jose,,24543017,,A,0,0.05,2.405384668
San Jose,,24543019,,A,0,0.05,0.353950513
San Jose,,24543020,,A,0,0.05,0.303032964
San Jose,,24130099,,R-1-8,0,5.4,0.705404156
San Jose,,59202107,,A,0,0.05,0.015348351
San Jose,,59202004,,A,0,0.05,0.536043205
San Jose,,59220074,,A,0,0.05,0.144960677
San Jose,,24548005,,A,0,0.05,0.586941289
San Jose,,24518002,,A,0,0.05,9.359594669
San Jose,,23715201,,A,0,0.05,10.64885985
San Jose,,24515166,,A,0,0.05,1.871098654
San Jose,,24414017,,A,0,0.05,38.56756136
San Jose,,58929002,,A,0,0.05,0.26767759
San Jose,,58929001,,A,0,0.05,0.190104916
San Jose,,24404020,,A,0,0.05,8.560034041
San Jose,,24404021,,A,0,0.05,5.647913793
San Jose,,58716031,,A,0,0.05,10.19761086
San Jose,,59510013,,A,0,0.05,3.718993693
San Jose,,59510014,,A,0,0.05,0.499402128
San Jose,,59510067,,A,0,0.05,2.76283101
San Jose,,24402009,,A,0,0.05,0.362559456
San Jose,,59510069,,A,0,0.05,3.402928628
San Jose,,58702012,,A,0,0.05,7.614039691
San Jose,,59510043,,A,0,0.05,1.031351881
San Jose,,59510036,,A,0,0.05,1.722307206
San Jose,,58708006,,A,0,0.05,0.256800367
San Jose,,58708007,,A,0,0.05,0.306323792
San Jose,,59511019,,A,0,0.05,25.43454747
San Jose,,59532012,,A,0,0.05,104.233343
San Jose,,59532013,,A,0,0.05,12.3334189
San Jose,,59532004,,A,0,0.05,0.918251568
San Jose,,59532006,,A,0,0.05,45.92536944
San Jose,,9234002,,A,0,0.05,113.2836787
San Jose,,1531044,,A,0,0.05,79.3068283
San Jose,,1530061,,A,0,0.05,10.80409955
San Jose,,1531061,,A,0,0.05,40.48088338
San Jose,,74211019,,A,0,0.05,7.362381615
San Jose,,74210011,,A,0,0.05,9.484361489
San Jose,,74211010,,A,0,0.05,27.27802992
San Jose,,72501025,,A,0,0.05,19.34500645
San Jose,,72501024,,A,0,0.05,32.63344702
San Jose,,72501023,,A,0,0.05,73.10716409
San Jose,,71207080,,A,0,0.05,2.843837279
San Jose,,57713068,,R-1-8,0,5.4,0.870440005
San Jose,,58309009,,R-1-5,0,8.0,0.277558491
San Jose,,65905056,,R-1-8,0,5.4,0.21064503
San Jose,,66002061,,R-1-1,0,1.0,3.123484278
San Jose,,66002060,,R-1-1,0,1.0,2.172844292
San Jose,,67893032,,A,0,0.05,2.278227534
San Jose,,67893011,,A,0,0.05,2.441080091
San Jose,,26438053,,MUC,55,250,0.158349545
San Jose,,25905058,,TR,50,250,0.209380268
San Jose,,25905063,,TR,50,250,0.196599227
San Jose,,25905064,,TR,50,250,0.146393103
San Jose,,25905065,,TR,50,250,0.491908964
San Jose,,25905070,,TR,50,250,0.308141694
San Jose,,25905071,,TR,50,250,0.153246588
San Jose,,25905072,,TR,50,250,0.155205586
San Jose,,25905027,,TR,50,250,0.106766765
San Jose,,25905037,,TR,50,250,0.192700146
San Jose,,25905038,,TR,50,250,0.120747462
San Jose,,25905039,,TR,50,250,0.137956263
San Jose,,25905066,,TR,50,250,0.130089978
San Jose,,25960C01,,TR,50,250,0.4461648
San Jose,,27721C01,,MUN,55,250,0.414570972
San Jose,,30333067,,MUC,55,250,0.206518776
San Jose,,30333020,,MUC,55,250,0.234159263
San Jose,,30333021,,MUC,55,250,0.21653394
San Jose,,30333022,,MUC,55,250,0.238134857
San Jose,,30333095,,MUC,55,250,0.481956334
San Jose,,25928046,,DC,0,350,1.697070223
San Jose,,70149035,,R-1-5,0,8.0,0.278984074
San Jose,,71203092,,A,0,0.05,47.2331668
San Jose,,24973C01,,TR,50,250,2.281121831
San Jose,,25933074,,TR,50,250,3.740829692
San Jose,,24944095,,UR,30,95,0.239272964
San Jose,,24944096,,UR,30,95,0.285850938
San Jose,,30325053,,UV,55,250,2.241785267
San Jose,,49707028,,UR,30,95,1.086996657
San Jose,,49707029,,UR,30,95,2.259894891
San Jose,,27733010,,UV,55,250,0.152064926
San Jose,,27733011,,UV,55,250,0.148759894
San Jose,,27733012,,UV,55,250,0.151528926
San Jose,,27733013,,UV,55,250,0.149470338
San Jose,,27733014,,UV,55,250,0.150660321
San Jose,,27733015,,UV,55,250,0.158398282
San Jose,,27734037,,UV,55,250,0.152821947
San Jose,,27734038,,UV,55,250,0.154055819
San Jose,,27734039,,UV,55,250,0.159612306
San Jose,,27734043,,UV,55,250,0.145995301
San Jose,,27734044,,UV,55,250,0.146388814
San Jose,,27734045,,UV,55,250,0.147829138
San Jose,,27734034,,UV,55,250,0.155163332
San Jose,,27734035,,UV,55,250,0.146151079
San Jose,,27734036,,UV,55,250,0.147243792
San Jose,,27734040,,UV,55,250,0.152068946
San Jose,,27734041,,UV,55,250,0.148699848
San Jose,,27734042,,UV,55,250,0.152464304
San Jose,,27734006,,UV,55,250,0.424582793
San Jose,,27734004,,UV,55,250,0.21292158
San Jose,,27734005,,UV,55,250,0.217323416
San Jose,,27734007,,UV,55,250,0.22742706
San Jose,,27734008,,UV,55,250,0.231942732
San Jose,,27734009,,UV,55,250,0.219680672
San Jose,,27709027,,MUC,55,250,0.090902293
San Jose,,27734052,,UVC,55,250,2.047777539
San Jose,,27734028,,UVC,55,250,0.152982911
San Jose,,27734016,,UVC,55,250,0.215757229
San Jose,,27734015,,UVC,55,250,0.753705834
San Jose,,30341015,,MUC,55,250,0.417105495
San Jose,,30341016,,MUC,55,250,0.752043077
San Jose,,30341017,,MUC,55,250,0.484141771
San Jose,,29627065,,MUC,55,250,0.243124774
San Jose,,29627066,,MUC,55,250,0.352296623
San Jose,,29627067,,MUC,55,250,0.233850756
San Jose,,29627068,,MUC,55,250,0.601341225
San Jose,,29627007,,MUC,55,250,0.320253256
San Jose,,29627005,,MUC,55,250,0.600838636
San Jose,,29627006,,MUC,55,250,0.284194332
San Jose,,29627001,,MUC,55,250,0.48019176
San Jose,,29627002,,MUC,55,250,0.669416867
San Jose,,29628011,,UV,55,250,0.746211052
San Jose,,29628012,,UV,55,250,10.51417199
San Jose,,29628013,,UV,55,250,5.579460759
San Jose,,29628001,,UV,55,250,0.722215017
San Jose,,29628005,,UV,55,250,0.644710119
San Jose,,37520002,,UVC,55,250,4.034589302
San Jose,,37512017,,UVC,55,250,0.394696335
San Jose,,26433094,,R-1-8,0,5.4,0.105439314
San Jose,,26433021,,R-1-8,0,5.4,0.102141931
San Jose,,26432019,,R-1-8,0,5.4,0.118131085
San Jose,,26432020,,R-1-8,0,5.4,0.130310889
San Jose,,26432021,,R-1-8,0,5.4,0.159993262
San Jose,,26432022,,R-1-8,0,5.4,0.388693865
San Jose,,26432015,,R-1-8,0,5.4,0.220428804
San Jose,,26432016,,R-1-8,0,5.4,0.045938721
San Jose,,26432017,,R-1-8,0,5.4,0.044603813
San Jose,,26432018,,R-1-8,0,5.4,0.061052091
San Jose,,26430066,,UR,30,95,0.235536518
San Jose,,47228026,,R-1-8,0,5.4,0.09259472
San Jose,,47228046,,R-1-8,0,5.4,0.142955073
San Jose,,47228047,,R-1-8,0,5.4,0.137199567
