city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
San Ramon,,208240026,,AG,0.0,0.1,0.0664600550964187
San Ramon,,208240028,,RC,0.0,0.0,0.1199954086317722
San Ramon,,208240029,,RC,0.0,0.0,0.0410009182736455
San Ramon,,208240049,,P,0.0,0.0,3.5172547301104586
San Ramon,,208240055,,RE-A,0.0,0.5,0.0422635445362718
San Ramon,,208240056,,RE-A,0.0,0.5,0.8842221428268323
San Ramon,,208240062,,RE-B,0.0,1.0,1.398989898989899
San Ramon,,208240094,,RE-B,0.0,1.0,0.23486342516488526
San Ramon,,208240104,,RE-A,0.0,0.5,0.8431025300070129
San Ramon,,208240105,,RE-A,0.0,0.5,0.8135782420138528
San Ramon,,208280023,,RH,22.0,30.0,7.422865013774104
San Ramon,,208280027,,RVH,30.0,50.0,0.6253443526170799
San Ramon,,208280028,,RH,22.0,30.0,1.8981349870846402
San Ramon,,208280029,,RH,22.0,30.0,3.513685878100996
San Ramon,,208280030,,RH,22.0,30.0,7.567943334259198
San Ramon,,208280032,,CC,0.0,0.0,2.4527089072543617
San Ramon,,208280033,,MUR,14.0,30.0,0.5035353535353535
San Ramon,,208280034,,MUR,14.0,30.0,0.9063585698768077
San Ramon,,208500003,,OA,0.0,0.0,4.69843364022633
San Ramon,,208500004,,OL,0.0,0.0,0.2266069788797061
San Ramon,,208500005,,OL,0.0,0.0,1.4163452708907254
San Ramon,,208511001,,RM,6.0,14.0,0.10046427227868908
San Ramon,,208511002,,RM,6.0,14.0,0.06081738519435829
San Ramon,,208511003,,RM,6.0,14.0,0.07186193067449047
San Ramon,,208511004,,RM,6.0,14.0,0.09274319298968825
San Ramon,,208511005,,RM,6.0,14.0,0.08024145716199177
San Ramon,,208511006,,RM,6.0,14.0,0.0686104536973333
San Ramon,,208511007,,RM,6.0,14.0,0.06289031330869145
San Ramon,,208511008,,RM,6.0,14.0,0.06425540675800241
San Ramon,,208511009,,RM,6.0,14.0,0.10266128443309055
San Ramon,,208511010,,RM,6.0,14.0,0.08772166469173791
San Ramon,,208511011,,RM,6.0,14.0,0.07210058234349383
San Ramon,,208511012,,RM,6.0,14.0,0.07003619301722473
San Ramon,,208511013,,RM,6.0,14.0,0.06882550853224724
San Ramon,,208511014,,RM,6.0,14.0,0.06869157162926998
San Ramon,,208511015,,RM,6.0,14.0,0.07309928874944642
San Ramon,,208511016,,RM,6.0,14.0,0.07309872248481963
San Ramon,,208511017,,RM,6.0,14.0,0.059037141608751204
San Ramon,,208511018,,RM,6.0,14.0,0.0669985755329524
San Ramon,,208511019,,RM,6.0,14.0,0.0726224475682632
San Ramon,,208511020,,RM,6.0,14.0,0.08732635230966476
San Ramon,,208511021,,RM,6.0,14.0,0.07017065357841885
San Ramon,,208511022,,RM,6.0,14.0,0.07339651293648539
San Ramon,,208511023,,RM,6.0,14.0,0.06620198086696852
San Ramon,,208511024,,RM,6.0,14.0,0.05774272616651899
San Ramon,,208511025,,RM,6.0,14.0,0.07470107868791981
San Ramon,,208511026,,RM,6.0,14.0,0.07491182630112851
San Ramon,,208511027,,RM,6.0,14.0,0.05817114099889689
San Ramon,,208511028,,RM,6.0,14.0,0.059821585993937214
San Ramon,,208511029,,RM,6.0,14.0,0.0627429747296551
San Ramon,,208511030,,RM,6.0,14.0,0.07137781345651366
San Ramon,,208511031,,RM,6.0,14.0,0.05815237804114499
San Ramon,,208511032,,RM,6.0,14.0,0.05911781594822291
San Ramon,,208511033,,RM,6.0,14.0,0.06509655506385033
San Ramon,,208511034,,RM,6.0,14.0,0.08812722235440076
San Ramon,,208511035,,RM,6.0,14.0,0.05865347612012945
San Ramon,,208511036,,RM,6.0,14.0,0.058969953537469325
San Ramon,,208511037,,RM,6.0,14.0,0.06752292690566368
