city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Santa Clara,,290-57-020,MDRE,PD,0.0,0,0.0275602
Santa Clara,,290-57-021,MDRE,PD,0.0,0,0.02472493
Santa Clara,,290-57-022,MDRE,PD,0.0,0,0.02817066
Santa Clara,,290-57-023,MDRE,PD,0.0,0,0.02580497
Santa Clara,,290-57-029,MDRE,PD,0.0,0,0.02665217
Santa Clara,,290-57-024,MDRE,PD,0.0,0,0.0257386
Santa Clara,,290-57-030,MDRE,PD,0.0,0,0.02845173
Santa Clara,,290-57-025,MDRE,PD,0.0,0,0.0232291
Santa Clara,,290-57-031,MDRE,PD,0.0,0,0.02717395
Santa Clara,,097-83-001,MDRE,PD,0.0,0,10.97089598
Santa Clara,,104-08-008,VLDR,PD,0.0,0,0.03627072
Santa Clara,,097-96-003,NHMX,PD-MC,0.0,0,0.04551122
Santa Clara,,097-08-053,PUQP,PD-MC,0.0,0,1.24852768
Santa Clara,,097-96-081,NHMX,PD-MC,0.0,0,0.05868452
Santa Clara,,097-96-084,NHMX,PD-MC,0.0,0,0.04312632
Santa Clara,,097-08-067,NHMX,PD-MC,0.0,0,3.54117583
Santa Clara,,097-05-105,MDRE,PD,0.0,0,10.19753202
Santa Clara,,220-31-079,CMXU,MUCC,20.0,36,0.66577599
Santa Clara,,220-31-080,CMXU,MUCC,20.0,36,0.66577419
Santa Clara,,097-43-001,PUQP,PQP,0.0,0,8.99937264
Santa Clara,,294-50-074,MDRE,PD,0.0,0,0.03362998
Santa Clara,,294-50-073,MDRE,PD,0.0,0,0.02985706
Santa Clara,,294-50-072,MDRE,PD,0.0,0,0.02984751
Santa Clara,,294-50-068,MDRE,PD,0.0,0,0.0316728
Santa Clara,,294-50-069,MDRE,PD,0.0,0,0.03344187
Santa Clara,,294-50-067,MDRE,PD,0.0,0,0.03168602
Santa Clara,,294-50-071,MDRE,PD,0.0,0,0.06175813
Santa Clara,,294-50-066,MDRE,PD,0.0,0,0.033453
