city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Saratoga,,39319053,,R-1-12,0,3.48,0.25227433968609586
Saratoga,,39326003,,R-1-10,0,4.36,0.45568467378325606
Saratoga,,39337011,,R-1-10,0,4.36,0.21866280005356187
Saratoga,,50328015,,R-1-40,0,1.09,0.5694063322982428
Saratoga,,39708092,,R-1-40,0,1.09,1.1637107435494363
Saratoga,,38908042,,R-M-3,0,20,0.03614152523505752
Saratoga,,38927034,,R-1-12,0,3.48,0.2812858454184228
Saratoga,,38607050,,R-1-10,0,4.36,0.23678148970038151
Saratoga,,39707063,,R-1-40,0,1.09,0.9490874312094056
Saratoga,,50355024,,R-1-40,0,1.09,1.2284034825700159
Saratoga,,39744013,,R-M-3,0,20,0.05097526496559015
Saratoga,,38616020,,R-1-10 SS,0,4.36,0.25735023766574555
Saratoga,,50361004,,R-M-4,0,20,0.03160982877237515
Saratoga,,39302024,,R-1-12,0,3.48,0.3415750848288924
Saratoga,,39334024,,R-1-12,0,3.48,0.28778328868316266
Saratoga,,38609026,,R-1-10,0,4.36,0.2295979223601848
Saratoga,,38926033,,R-1-10,0,4.36,0.20374683838714142
Saratoga,,51707023,,R-1-10,0,4.36,0.27198653712541093
Saratoga,,50326048,,R-1-10,0,4.36,0.32590337550667287
Saratoga,,51718066,,R-1-40,0,1.09,1.239291790391518
Saratoga,,39725100,,R-1-20,0,2.18,0.5365645018977728
Saratoga,,39723033,,R-1-10,0,4.36,0.16412419594334834
Saratoga,,38936002,,R-1-15,0,2.9,0.3533102064765943
Saratoga,,40323019,,R-1-10,0,4.36,0.23194417590744004
Saratoga,,38923007,,R-1-10,0,4.36,0.4072511260183256
Saratoga,,38648014,,R-1-10 PC,0,4.36,0.13484005483715536
Saratoga,,50319073,,R-1-12,0,3.48,0.8085642202820366
Saratoga,,51722126,,R-1-40,0,1.09,1.7530797013786175
Saratoga,,38907001,,R-M-4,0,20,0.03071259319002148
Saratoga,,39346009,,R-1-12,0,3.48,0.31218079512112357
Saratoga,,51713010,,HR,0,1,0.13309637541110408
Saratoga,,51002007,,R-1-20,0,2.18,0.8034970087664214
Saratoga,,39732017,,R-1-40,0,1.09,1.0549617259260438
Saratoga,,38618010,,R-1-10 SS,0,4.36,0.33150372634804853
Saratoga,,38611013,,R-1-10,0,4.36,0.24294367820594198
Saratoga,,38922015,,R-1-10,0,4.36,0.2997381080522323
Saratoga,,50376001,,CH-2,0,20,0.026852955425551127
Saratoga,,39335036,,R-1-10,0,4.36,0.2305353347765348
Saratoga,,39333050,,R-1-10,0,4.36,0.3289773713209762
Saratoga,,38913013,,R-1-10,0,4.36,0.2884219062917392
Saratoga,,40323039,,R-1-10,0,4.36,0.23864557174709602
Saratoga,,38653048,,CN,0,20,0.08027705421709798
Saratoga,,39320031,,R-1-12,0,3.48,0.27453672661191275
Saratoga,,38642042,,R-1-12,0,3.48,0.3922354524582269
Saratoga,,38937013,,R-1-10,0,4.36,0.1981960131014855
Saratoga,,39328010,,R-1-10,0,4.36,0.2974746463617125
Saratoga,,50331097,,HR,0,1,1.1095832728457007
Saratoga,,38914020,,R-1-10,0,4.36,0.23342308496661573
Saratoga,,39716059,,R-1-40,0,1.09,0.9036588320930216
Saratoga,,38627071,,R-1-10,0,4.36,0.33509963573694296
Saratoga,,38655007,,R-1-10,0,4.36,0.24022281973550824
Saratoga,,38626064,,R-1-10,0,4.36,0.2369781739109744
Saratoga,,38616006,,R-1-10 SS,0,4.36,0.24132218976137382
Saratoga,,50320087,,R-1-12,0,3.48,0.3033431536379246
Saratoga,,38907033,,R-M-4,0,20,0.018496156001078904
Saratoga,,36614031,,R-1-12,0,3.48,0.34017487470761765
Saratoga,,39721024,,R-1-10,0,4.36,0.5019525900826192
Saratoga,,38914028,,R-1-10,0,4.36,0.22405279496157093
Saratoga,,50322042,,R-1-10,0,4.36,0.22423992035148052
Saratoga,,39734016,,R-1-20,0,2.18,0.6770713149596946
Saratoga,,51708038,,R-1-10,0,4.36,0.3208218678714847
Saratoga,,37824051,,R-1-10,0,4.36,0.2240512662720878
Saratoga,,39336001,,R-1-10,0,4.36,0.22075170796629326
Saratoga,,50352017,,R-1-10,0,4.36,0.25615521008418224
Saratoga,,38661024,,R-1-10 SS,0,4.36,0.26819683258425525
Saratoga,,38619011,,R-1-10 SS,0,4.36,0.2660580810749184
Saratoga,,36622026,,R-1-10,0,4.36,0.295772845828344
Saratoga,,50316076,,R-1-40,0,1.09,1.5815694364551034
Saratoga,,38662012,,R-M-5,0,20,0.09823337073686855
Saratoga,,38612046,,R-1-10,0,4.36,0.28652802565736224
Saratoga,,50354005,,R-1-12,0,3.48,0.279386319479451
Saratoga,,50328034,,R-1-40,0,1.09,0.3586621544852716
Saratoga,,39314015,,R-1-12,0,3.48,0.3538006738977481
Saratoga,,39701067,,R-1-40,0,1.09,0.9293975358990011
Saratoga,,36606046,,HR,0,1,1.205888249150129
Saratoga,,50360001,,R-M-4,0,20,0.03190169172933719
Saratoga,,51002012,,R-1-40,0,1.09,0.47717298713697315
Saratoga,,40327098,,R-1-10,0,4.36,0.20018465280781375
Saratoga,,38659011,,R-1-10,0,4.36,0.025432882454635965
Saratoga,,38904017,,R-1-12,0,3.48,0.2843849906067095
Saratoga,,38626015,,R-1-10,0,4.36,0.22596014198344241
Saratoga,,39328008,,R-1-10,0,4.36,0.24070450584938308
Saratoga,,39304011,,R-1-12,0,3.48,0.292257544656866
Saratoga,,39707105,,R-1-40,0,1.09,1.3029450644339844
Saratoga,,38942009,,R-1-10,0,4.36,0.2875315212031951
Saratoga,,38904011,,R-1-12,0,3.48,0.2864564008173558
Saratoga,,50377013,,R-1-12,0,3.48,0.28209342062211507
Saratoga,,50320031,,R-1-15,0,2.9,0.3171927640440071
Saratoga,,40328032,,R-1-10,0,4.36,0.1868667934095264
Saratoga,,51002026,,R-1-40,0,1.09,0.772096577119026
Saratoga,,39326015,,R-1-10,0,4.36,0.3165695522418662
Saratoga,,37824024,,R-1-10,0,4.36,0.24426361965759474
Saratoga,,50326021,,R-1-10,0,4.36,0.10034045023867767
Saratoga,,50329127,,R-1-40,0,1.09,2.874188203159944
Saratoga,,38915084,,R-1-10,0,4.36,0.2275327055313012
Saratoga,,39711012,,R-1-40,0,1.09,1.0224305348330742
Saratoga,,38611025,,R-1-10,0,4.36,0.24470337820576454
Saratoga,,38651036,,R-1-12,0,3.48,0.29691119251804937
Saratoga,,38656028,,CV,0,20,0.05477663666181548
Saratoga,,50350029,,R-1-12,0,3.48,0.29544997418801183
Saratoga,,50369001,,HR,0,1,0.9858034308420136
Saratoga,,38604018,,R-1-12,0,3.48,0.30250712236352506
Saratoga,,38637032,,R-1-10,0,4.36,0.24066038972950715
Saratoga,,38931001,,R-1-15,0,2.9,0.36808954340200023
Saratoga,,50329028,,R-1-40,0,1.09,0.8539565218379565
Saratoga,,50365002,,R-M-4,0,20,0.05361824276185163
