city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Sunnyvale,746 LAKEWOOD DR SUNNYVALE 94089-2505,11016033,,R0,0,7,0.1499304000931831
Sunnyvale,1294 RIESLING TR SUNNYVALE 94087-2313,20215009,,R3,0,24,0.032826746491815655
Sunnyvale,767 HOLBROOK PL SUNNYVALE 94087-1803,20106045,,R0,0,7,0.17430248383121225
Sunnyvale,392 WAVERLY ST SUNNYVALE 94086-6055,16512097,,R2,0,12,0.08476654793308691
Sunnyvale,421 VASQUEZ AV SUNNYVALE 94086-7359,16124013,,R3,0,24,0.20319556154373977
Sunnyvale,851 PEAR AV SUNNYVALE 94087-1244,20114008,,R0,0,7,0.20544829911233245
Sunnyvale,721 W REMINGTON DR SUNNYVALE 94087-2242,20103033,,R0,0,7,0.13088096917980116
Sunnyvale,899 MANGO AV SUNNYVALE 94087-1661,19822031,,R0,0,7,0.13902483253866596
Sunnyvale,723 W FREMONT AV SUNNYVALE 94087-2305,20215028,,R3,0,24,0.04053011109941917
Sunnyvale,382 SUNSET AV SUNNYVALE 94086-5978,16546015,,R1.7,0,0,0.09778061202340069
Sunnyvale,861 HYDRANGEA CT SUNNYVALE 94086-8141,21106003,,R0,0,7,0.1673645883291381
Sunnyvale,1082 CLEMATIS DR SUNNYVALE 94086-8343,21309026,,R0,0,7,0.15010385130917406
Sunnyvale,659 TORREYA AV SUNNYVALE 94086-8452,21310007,,R0,0,7,0.13929790736476053
Sunnyvale,925 BLAIR AV SUNNYVALE 94087-1124,20119013,,R0,0,7,0.12867897741984843
Sunnyvale,1354 SYDNEY DR SUNNYVALE 94087-3263,32340002,,R2,0,12,0.0409633603755361
Sunnyvale,635 SAN PATRICIO AV SUNNYVALE 94085-3414,20514014,,R0,0,7,0.11967574571859418
Sunnyvale,627 ONEIDA DR SUNNYVALE 94087-1850,20128001,,R0,0,7,0.18160553913554436
Sunnyvale,427 ROOSEVELT AV SUNNYVALE 94085-4441,20437042,,R2,0,12,0.1593684481747024
Sunnyvale,1367 RAMON DR SUNNYVALE 94087-5830,31301037,,R1,0,7,0.23784591904042382
Sunnyvale,975 ASILOMAR TR SUNNYVALE 94086-2433,16545071,,R3,0,24,0.023981445281953628
Sunnyvale,513 PORPOISE BAY TR SUNNYVALE 94089-1755,11041006,,R3,0,24,0.01954476664001311
Sunnyvale,1613 LONGSPUR AV SUNNYVALE 94087-4834,30949019,,R0,0,7,0.13264126334820248
Sunnyvale,1058 W REMINGTON DR SUNNYVALE 94087-2162,20234042,,R1,0,7,0.15980074269673059
Sunnyvale,1074 BRADFORD DR SUNNYVALE 94089-1552,11009033,,R0,0,7,0.12113416105452632
Sunnyvale,1357 ZURICH TR SUNNYVALE 94087-3265,32340020,,R2,0,12,0.04807885194192942
Sunnyvale,360 SARA AV SUNNYVALE 94086-5939,16509053,,R0,0,7,0.16146353273568645
Sunnyvale,1382 S WOLFE RD SUNNYVALE 94087-5835,31301005,,R0,0,7,0.1661995809954828
Sunnyvale,1363 NORMAN DR SUNNYVALE 94087-5825,31312008,,R1,0,7,0.22252881581154008
Sunnyvale,535 E TAYLOR AV SUNNYVALE 94085-4454,20438025,,R3,0,24,0.2096367984760178
Sunnyvale,1036 CHULA VISTA TR SUNNYVALE 94086-4876,16133015,,R3,0,24,0.021477653516825297
Sunnyvale,902 COACHELLA AV SUNNYVALE 94085-3435,20512014,,R0,0,7,0.14447658605322755
Sunnyvale,125 CONNEMARA WY SUNNYVALE 94087-3236,30920033,,R2,0,12,0.0231029937076169
Sunnyvale,214 ARRIBA DR SUNNYVALE 94086-6915,16119022,,R3,0,24,0.1446262139683587
Sunnyvale,1780 KIMBERLY DR SUNNYVALE 94087-5231,32621045,,R1,0,7,0.14838473022815274
Sunnyvale,233 E WEDDELL DR SUNNYVALE 94089-1659,11040010,,MS,0,0,0.027453892569506345
Sunnyvale,579 E MAUDE AV SUNNYVALE 94085-3726,20413053,,R3,0,24,0.1156524331281439
Sunnyvale,1071 E EL CAMINO REAL SUNNYVALE 94087-3755,21337010,,ECR,0,0,0.9228661079125345
Sunnyvale,859 W KNICKERBOCKER DR SUNNYVALE 94087-1811,20106001,,R0,0,7,0.1742091196491671
Sunnyvale,936 AZURE ST SUNNYVALE 94087-1461,21121013,,R4,0,36,1.2534489199062402
Sunnyvale,807 LOIS AV SUNNYVALE 94087-1642,19825017,,R0,0,7,0.1446406031416447
Sunnyvale,831 HUMEWICK WY SUNNYVALE 94087-3535,30931031,,R0,0,7,0.14663094202010168
Sunnyvale,738 SAN SIMEON ST SUNNYVALE 94085-3462,20510010,,R0,0,7,0.12085457235387895
Sunnyvale,609 ALBERTA AV SUNNYVALE 94087-4360,32328016,,R2,0,12,0.18593525983289558
Sunnyvale,1020 E EVELYN AV SUNNYVALE 94086-6773,21306031,,R2,0,12,0.11603875701682136
Sunnyvale,1416 BELLEVILLE WY SUNNYVALE 94087-3806,32005032,,R1,0,7,0.21998661602158154
Sunnyvale,845 GARY AV SUNNYVALE 94086-8507,21111003,,R1,0,7,0.23801765083069992
Sunnyvale,659 CYPRESS AV SUNNYVALE 94085-3827,20518018,,R0,0,7,0.12217373537277008
Sunnyvale,380 E EAGLEWOOD AV SUNNYVALE 94085-3659,20419055,,R0,0,7,0.14249873296657267
Sunnyvale,914 HAZELNUT CT SUNNYVALE 94087-1615,19821018,,R0,0,7,0.22068703115273644
Sunnyvale,910 E CALIFORNIA AV SUNNYVALE 94085-4505,20534009,,MS,0,0,0.5634909402131576
Sunnyvale,1232 REMBRANDT DR SUNNYVALE 94087-2850,21129001,,R0,0,7,0.156278091913971
Sunnyvale,1552 NUTHATCH LN SUNNYVALE 94087-4938,31328050,,R0,0,7,0.15190876009328053
Sunnyvale,598 MORSE AV SUNNYVALE 94085-3771,20414013,,R0,0,7,0.1373048928261737
Sunnyvale,1023 W HOMESTEAD RD SUNNYVALE 94087-5224,32015029,,R1,0,7,0.17232469899142897
Sunnyvale,1640 LONGSPUR AV SUNNYVALE 94087-4833,30949042,,R0,0,7,0.14473701784929632
Sunnyvale,633 E MC KINLEY AV SUNNYVALE 94086-6451,20913012,,R0,0,7,0.11796853436585765
Sunnyvale,878 ITHACA AV SUNNYVALE 94087-1831,20106012,,R0,0,7,0.1490966483208969
Sunnyvale,649 BONANZA CT SUNNYVALE 94087-4228,32307016,,R1,0,7,0.19401963707466832
Sunnyvale,1020 W HOMESTEAD RD SUNNYVALE 94087-5223,32604006,,R1,0,7,0.1949253535838319
Sunnyvale,390 S BAYVIEW AV SUNNYVALE 94086-6224,20923021,,R0,0,7,0.11508315676403806
Sunnyvale,1357 FLOYD AV SUNNYVALE 94087-3454,30903028,,R0,0,7,0.2221070702291916
Sunnyvale,1127 BLAIR AV SUNNYVALE 94087-1013,19817005,,R0,0,7,0.15358920903872159
Sunnyvale,1036 E AHWANEE AV SUNNYVALE 94085-3479,20507055,,R2,0,12,0.07562856872900778
Sunnyvale,1048 HOMESTEAD RD SUNNYVALE 94087,32604086,,R1,0,7,0.20069924467027314
Sunnyvale,481 LINCOLN AV SUNNYVALE 94086-6320,20904005,,R2,0,12,0.12408947496371323
Sunnyvale,174 CIRRUS AV SUNNYVALE 94087-1443,21119029,,R0,0,7,0.15274461415544868
Sunnyvale,1248 SUSAN WY SUNNYVALE 94087-1556,19813065,,R0,0,7,0.13877738489008815
Sunnyvale,1474 VALCARTIER DR SUNNYVALE 94087-4448,32330040,,R1,0,7,0.19897600564120593
Sunnyvale,1259 ALBION LN SUNNYVALE 94087-3828,32028039,,R0,0,7,0.1939895738379014
Sunnyvale,988 BELMONT TR SUNNYVALE 94086-4890,16523036,,R3,0,24,0.013295187480132678
Sunnyvale,1771 LARK LN SUNNYVALE 94087-4829,31627062,,R0,0,7,0.1821666519253057
Sunnyvale,1616 MARIANI DR SUNNYVALE 94087-4651,30952027,,R1,0,7,0.2093071953663296
Sunnyvale,994 PONDEROSA AV SUNNYVALE 94086-8951,21325042,,R3,0,24,0.24485205529385543
Sunnyvale,1085 FIRTH CT SUNNYVALE 94087-5004,31323060,,R0,0,7,0.14678392786370317
Sunnyvale,426 E ARBOR AV SUNNYVALE 94085-3667,20414041,,R0,0,7,0.17896204434132817
Sunnyvale,370 MORSE AV SUNNYVALE 94085-4329,20440031,,R2,0,12,0.16077291262148277
Sunnyvale,415 WAVERLY ST SUNNYVALE 94086-6058,16512047,,R2,0,12,0.12103290848126019
Sunnyvale,864 S MARY AV SUNNYVALE 94087-1167,20107017,,R0,0,7,0.17074568660759912
Sunnyvale,774 LAKEMUIR DR SUNNYVALE 94089-2562,11017094,,R0,0,7,0.1362680445705112
Sunnyvale,772 PRIVET CT SUNNYVALE 94086-8226,21318053,,R0,0,7,0.20117831033755915
Sunnyvale,1454 S WOLFE RD SUNNYVALE 94087-3669,31313054,,R0,0,7,0.16860655928714108
Sunnyvale,977 CARSON DR SUNNYVALE 94086-5955,16519037,,R0,0,7,0.13848977259048423
Sunnyvale,910 MANGROVE AV SUNNYVALE 94086-8957,21326012,,R0,0,7,0.13014027473931447
Sunnyvale,775 LAKEHAVEN DR SUNNYVALE 94089-2552,11020005,,R0,0,7,0.1313176854530667
Sunnyvale,1112 KENSINGTON AV SUNNYVALE 94087-5006,31333025,,R0,0,7,0.16915425951483384
Sunnyvale,939 LEIGHTON WY SUNNYVALE 94087-4912,31337056,,R0,0,7,0.14782599339777996
Sunnyvale,656 SAN DIEGO AV SUNNYVALE 94085-3047,20418067,,R0,0,7,0.177175957501896
Sunnyvale,694 LAKEWOOD DR SUNNYVALE 94089-2503,11016074,,R0,0,7,0.14832605003298352
Sunnyvale,453 IVES TR SUNNYVALE 94087-1951,21147053,,R2,0,12,0.049057357953492656
Sunnyvale,806 NISQUALLY DR SUNNYVALE 94087-4213,32323003,,R1,0,7,0.2037991176941123
Sunnyvale,745 WINSTEAD TR SUNNYVALE 94087-2303,20215070,,R3,0,24,0.03231896605571432
Sunnyvale,1122 S MARY AV SUNNYVALE 94087-2103,20219003,,R1,0,7,0.20169293822714335
Sunnyvale,1038 ESSEX AV SUNNYVALE 94089-1507,11011008,,R0,0,7,0.11966701229924277
Sunnyvale,565 CONNEMARA WY SUNNYVALE 94087-3321,30918020,,R0,0,7,0.15520286045101092
Sunnyvale,349 E ARQUES AV SUNNYVALE 94085-4339,20440047,,R0,0,7,0.11450026642939058
Sunnyvale,498 PERALTA AV SUNNYVALE 94086-7561,16506045,,R0,0,7,0.14844810783968485
Sunnyvale,1298 KIFER RD SUNNYVALE 94086,21655048,,MXD1,0,0,0.033876180036078854
Sunnyvale,967 GERBER CT SUNNYVALE 94087-4107,32018031,,R1,0,7,0.18734448142245066
Sunnyvale,1504 ORIOLE AV SUNNYVALE 94087-4940,31325016,,R0,0,7,0.1605539704662049
Sunnyvale,547 W REMINGTON DR SUNNYVALE 94087-2461,20131003,,R0,0,7,0.1425624120340974
Sunnyvale,1490 S WOLFE RD SUNNYVALE 94087-3669,31313048,,R0,0,7,0.16878349168580917
Sunnyvale,731 SILVER PINE CT SUNNYVALE 94086-8235,21315039,,R0,0,7,0.1532508133505067
Sunnyvale,1549 KINGSGATE DR SUNNYVALE 94087-4143,32319008,,R1,0,7,0.18349646262129593
Sunnyvale,777 DUNCARDINE WY SUNNYVALE 94087-3514,30928067,,R0,0,7,0.15637872967799718
