city,site_address,parcel_id,gp_designation,zoning_code,min_density,max_density,total_acreage
Union City,CANA RD HAYWARD 94542,83-125-5,,Open Space,0,0,10.961102143595042
Union City,PALOMARES RD UNION CITY 94587,85A-4700-7,,Agricultural,0,0,12.606156468807391
Union City,PALOMARES RD UNION CITY 94587,85A-5000-1,,Agricultural,0,0,37.555356476698805
Union City,PALOMARES RD UNION CITY 94587,85A-5175-1,,Agricultural,0,0,13.273480992452939
Union City,PALOMARES RD UNION CITY 94587,85A-5275-1,,Agricultural,0,0,53.019046466081264
Union City,PALOMARES RD UNION CITY 94587,85A-5275-2,,Agricultural,0,0,14.392926782024793
Union City,PALOMARES RD UNION CITY 94587,85A-5275-3,,Agricultural,0,0,15.370206055584251
Union City,PALOMARES RD UNION CITY 94587,85A-5275-4,,Agricultural,0,0,2.0549518623737373
Union City,PALOMARES RD UNION CITY 94587,85A-5275-5,,Agricultural,0,0,0.29162837537304864
Union City,PALOMARES RD UNION CITY 94587,85A-5275-6,,Agricultural,0,0,0.10872225450528007
Union City,PALOMARES RD UNION CITY 94587,85A-5275-7,,Agricultural,0,0,1.556637934745179
Union City,PALOMARES RD UNION CITY 94587,85A-5275-8,,Agricultural,0,0,0.013550185806932966
Union City,PALOMARES RD UNION CITY 94587,85A-5275-9,,Agricultural,0,0,11.32160373263889
Union City,PALOMARES RD UNION CITY 94587,85A-5275-10,,Agricultural,0,0,23.10237863363751
Union City,PALOMARES RD UNION CITY 94587,85A-5275-11,,Agricultural,0,0,8.916468663911846
Union City,PALOMARES RD UNION CITY 94587,85A-5275-12,,Agricultural,0,0,5.931902386794077
Union City,PALOMARES RD UNION CITY 94587,85A-5275-14-1,,Agricultural,0,0,2.1272694092917814
Union City,PALOMARES RD UNION CITY 94587,85A-5275-14-2,,Agricultural,0,0,1.5526200391701102
Union City,PALOMARES RD UNION CITY 94587,85A-5275-14-3,,Agricultural,0,0,36.18582379189623
Union City,PALOMARES RD UNION CITY 94587,85A-5275-15,,Agricultural,0,0,45.640675666465796
Union City,PALOMARES RD UNION CITY 94587,85A-5275-16,,Agricultural,0,0,9.064116932822543
Union City,PALOMARES RD UNION CITY 94587,85A-5275-17,,Agricultural,0,0,1.0410648566632232
Union City,PALOMARES RD UNION CITY 94587,85A-5275-18,,Agricultural,0,0,2.4792881765094124
Union City,PALOMARES RD UNION CITY 94587,85A-5275-19,,Agricultural,0,0,8.276597473312671
Union City,PALOMARES RD UNION CITY 94587,85A-5275-20,,Agricultural,0,0,0.0393682026228191
Union City,PALOMARES RD UNION CITY 94587,85A-5275-21,,Agricultural,0,0,0.21519285540059688
Union City,PALOMARES RD UNION CITY 94587,85A-5275-22,,Agricultural,0,0,0.049645334739439856
Union City,PALOMARES RD UNION CITY 94587,85A-5275-23,,Agricultural,0,0,0.9745692902031681
Union City,PALOMARES RD UNION CITY 94587,85A-5275-24-1,,Agricultural,0,0,1.1618405288682276
Union City,PALOMARES RD UNION CITY 94587,85A-5275-24-2,,Agricultural,0,0,0.25239163653581265
Union City,PALOMARES RD UNION CITY 94587,85A-5275-25,,Agricultural,0,0,0.492279506714876
Union City,PALOMARES RD UNION CITY 94587,85A-5275-26,,Agricultural,0,0,7.7644988593319555
Union City,PALOMARES RD UNION CITY 94587,85A-5275-27,,Agricultural,0,0,0.7980539593376952
Union City,PALOMARES RD UNION CITY 94587,85A-5275-28,,Agricultural,0,0,10.772803048238062
Union City,PALOMARES RD UNION CITY 94587,85A-5275-29,,Agricultural,0,0,4.888365275625574
Union City,PALOMARES RD UNION CITY 94587,85A-5275-30,,Agricultural,0,0,0.7276048840679522
Union City,PALOMARES RD UNION CITY 94587,85A-5275-31,,Agricultural,0,0,0.6378712551652893
Union City,PALOMARES RD UNION CITY 94587,85A-5275-32,,Agricultural,0,0,1.9212345400022957
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-33,,Agricultural,0,0,51.056039622073
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-34,,Agricultural,0,0,3.258330822428834
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-35,,Agricultural,0,0,0.9820794952364554
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-36,,Agricultural,0,0,2.08283563619146
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-37,,Agricultural,0,0,0.2722413230314509
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-38,,Agricultural,0,0,1.3282079495236456
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-39,,Agricultural,0,0,1.3775445326848026
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-40,,Agricultural,0,0,0.3609983894341139
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-41,,Agricultural,0,0,0.2955207257231405
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-42,,Agricultural,0,0,14.960264756944444
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-43,,Agricultural,0,0,1.6694864124196511
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-44,,Agricultural,0,0,6.799319724230946
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-45,,Agricultural,0,0,5.540702210313361
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-46,,Agricultural,0,0,53.821044428661615
Union City,NILES CANYON RD UNION CITY 94587,85A-5275-47-1,,Agricultural,0,0,1.372748256714876
